ID,Disbursement Date,Loan Status,Loan Amount,Outstanding Balance,Outstanding Principal,Interest Rate,Loan Term (Months),Date of Birth,Gender,Province,Residential Status,Stated Income on application,"Qualified / Verified
Income",Aptitude for change Score,Financial Literacy Score,Self Assessments,Quiz Count,Mood Count,Inspiration Count,Total Activies,Average total activities per month,Average activities per day,Debt_to_Income_Ratio,Remaining_Loan_Percentage,Loan_to_Income_Ratio,Monthly_Repayment_Burden,Consistency_Score,Age,Elapsed_Months,Remaining_Tenure,Cluster
1233,2022-08-12,Active,25000.0,2195.71,1494.52,0.2799,60,1972-02-03,FEMALE,ON,HOME OWNER,69032,69000,0.0,0.0,4.0,16.0,4.0,4.0,28.0,1.0646,0.0355,0.021659710144927537,0.0878284,0.36231884057971014,36.595166666666664,0.03334585759909825,52,27,33,1
1280,2022-08-31,Active,12800.0,10013.71,7696.66,0.2999,48,1979-03-14,MALE,ON,RENTER,96480,96500,5.0,0.0,26.0,211.0,29.0,17.0,283.0,11.026,0.3675,0.07975813471502591,0.7823210937499999,0.13264248704663212,208.61895833333332,0.03333031017594776,45,26,22,0
1295,2022-09-08,Active,13000.0,14118.88,9508.71,0.2999,60,1983-09-14,MALE,ON,LIVE WITH FAMILY,74068,74000,4.33,1.0,5.0,7.0,1.0,0.0,13.0,0.5118,0.0171,0.12849608108108107,1.0860676923076922,0.17567567567567569,235.31466666666665,0.03341148886283705,41,26,34,0
1366,2022-09-15,Active,13000.0,15395.58,10238.12,0.2799,40,1960-06-12,FEMALE,ON,RENTER,49404,40400,2.33,0.0,23.0,209.0,106.0,66.0,404.0,16.0743,0.5358,0.25341881188118814,1.1842753846153846,0.3217821782178218,384.8895,0.03333271122226163,64,26,14,3
1372,2022-09-16,Active,8000.0,8792.27,5983.12,0.2699,60,1961-04-26,MALE,ON,RENTER,72228,72300,4.5,0.0,0.0,1.0,1.0,1.0,3.0,0.1194,0.004,0.08275408022130014,1.09903375,0.11065006915629322,146.53783333333334,0.03350083752093802,63,26,34,0
1413,2022-09-23,Active,25000.0,27532.61,18590.9,0.2899,60,1957-01-23,MALE,ON,RENTER,109810,109800,3.83,0.0,25.0,198.0,91.0,45.0,359.0,14.4177,0.4806,0.169316029143898,1.1013044,0.22768670309653916,458.87683333333337,0.03333402692523773,67,26,34,0
1416,2022-09-29,Active,11550.0,12596.23,8505.34,0.2899,60,1978-06-02,FEMALE,ON,HOME OWNER,65000,60200,5.0,0.0,25.0,209.0,16.0,13.0,263.0,10.6478,0.3549,0.14128471760797343,1.090582683982684,0.19186046511627908,209.93716666666666,0.03333082890362328,46,25,35,0
1461,2022-09-15,Active,11000.0,2804.76,1959.79,0.2499,60,1960-07-01,MALE,ON,RENTER,91201,91000,4.67,0.0,21.0,194.0,1.0,17.0,233.0,9.2706,0.309,0.021536153846153847,0.2549781818181818,0.12087912087912088,46.746,0.033331175975665005,64,26,34,1
1463,2022-09-28,Active,23350.0,27566.5,17851.63,0.2999,40,1989-02-28,MALE,ON,RENTER,120000,120000,4.0,0.0,26.0,178.0,36.0,15.0,255.0,10.31,0.3437,0.14876358333333334,1.1805781584582442,0.19458333333333333,689.1625,0.03333656644034917,35,26,14,0
1469,2022-09-16,Active,25000.0,28274.4,19154.02,0.2799,45,1967-04-07,FEMALE,ON,RENTER,81361,81400,4.0,0.0,25.0,211.0,51.0,38.0,325.0,12.931,0.431,0.235307371007371,1.130976,0.3071253071253071,628.32,0.033330755548681465,57,26,19,3
1478,2022-09-21,Active,20000.0,23825.4,15634.38,0.2899,59,1970-01-30,MALE,ON,RENTER,59300,59300,3.0,0.0,24.0,190.0,32.0,19.0,265.0,10.6142,0.3538,0.2636489038785835,1.19127,0.3372681281618887,403.8203389830509,0.03333270524391852,54,26,33,3
1480,2022-09-16,Active,14500.0,5523.41,3683.6,0.2999,60,1995-07-15,MALE,ON,LIVE WITH FAMILY,45572,45500,3.83,0.0,25.0,208.0,52.0,49.0,334.0,13.2891,0.443,0.08095824175824176,0.3809248275862069,0.31868131868131866,92.05683333333333,0.03333559082255382,29,26,34,1
1602,2022-10-12,Active,10000.0,11931.13,7829.34,0.2899,42,1996-06-10,MALE,ON,LIVE WITH FAMILY,50000,37500,2.83,0.0,23.0,111.0,1.0,0.0,135.0,5.5632,0.1854,0.2087824,1.1931129999999999,0.26666666666666666,284.0745238095238,0.033326143226919756,28,25,17,0
1702,2023-01-27,Active,25000.0,31419.85,20053.6,0.2999,60,1963-12-01,MALE,ON,RENTER,110745,79800,5.0,0.0,21.0,174.0,18.0,12.0,225.0,10.8696,0.3623,0.2512982456140351,1.256794,0.3132832080200501,523.6641666666667,0.033331493339221314,61,21,39,3
1713,2023-01-27,Active,14400.0,18128.84,11570.51,0.2999,60,1981-03-18,MALE,ON,RENTER,112802,115800,2.17,0.0,3.0,24.0,3.0,2.0,32.0,1.5459,0.0515,0.09991804835924008,1.2589472222222222,0.12435233160621761,302.14733333333334,0.0333139271621709,43,21,39,0
1717,2023-02-02,Active,20000.0,25499.05,16196.38,0.2999,60,1967-11-24,MALE,ON,RENTER,60320,60300,3.33,0.0,20.0,166.0,72.0,23.0,281.0,13.6851,0.4562,0.2685966832504146,1.2749525,0.33167495854063017,424.9841666666667,0.0333355254985349,57,21,39,3
1722,2023-02-01,Active,23000.0,29094.3,18912.99,0.2799,41,1976-05-26,MALE,ON,RENTER,65320,605300,3.67,0.0,16.0,81.0,16.0,13.0,126.0,6.1463,0.2049,0.031245646786717332,1.2649695652173913,0.03799768709730712,709.6170731707317,0.03333712965523974,48,21,20,0
1787,2023-03-06,Active,25000.0,2992.96,1864.92,0.2999,60,1976-12-08,FEMALE,ON,HOME OWNER,87000,86800,4.0,4.0,17.0,121.0,12.0,11.0,161.0,8.2847,0.2762,0.0214852534562212,0.1197184,0.2880184331797235,49.882666666666665,0.03333856385867925,48,20,40,1
1804,2023-02-23,Active,10000.0,12656.34,8038.93,0.2999,60,1986-12-07,FEMALE,ON,LIVE WITH FAMILY,51000,51000,3.33,4.0,17.0,153.0,3.0,10.0,183.0,9.2424,0.3081,0.15762607843137255,1.265634,0.19607843137254902,210.939,0.03333549727343547,38,21,39,0
1831,2023-02-28,Active,20000.0,26141.74,16445.52,0.2999,60,1979-08-11,FEMALE,ON,RENTER,120000,120000,4.5,4.0,12.0,59.0,1.0,0.0,72.0,3.6672,0.1222,0.137046,1.307087,0.16666666666666666,435.6956666666667,0.03332242582897033,45,20,40,0
1916,2023-03-10,Active,15000.0,19796.77,12394.57,0.2999,51,1977-01-18,MALE,ON,RENTER,54310,54300,4.0,3.0,19.0,157.0,81.0,47.0,304.0,15.7513,0.525,0.22826095764272558,1.3197846666666666,0.27624309392265195,388.17196078431374,0.03333058223765657,47,20,31,0
1937,2023-03-14,Active,17500.0,22963.55,14265.41,0.2999,60,1989-04-07,MALE,ON,RENTER,160000,160000,3.83,4.0,13.0,14.0,0.0,0.0,27.0,1.4087,0.047,0.0891588125,1.312202857142857,0.109375,382.7258333333333,0.033364094555263714,35,20,40,0
1944,2023-03-15,Active,12400.0,15078.68,9926.98,0.2599,60,1978-11-11,FEMALE,AB,RENTER,59781,48000,4.17,2.0,19.0,146.0,1.0,1.0,167.0,8.7282,0.2909,0.2068120833333333,1.2160225806451612,0.25833333333333336,251.31133333333335,0.03332875048692743,46,20,40,0
1954,2023-03-21,Active,6000.0,7309.17,4846.37,0.2599,60,1985-01-12,MALE,ON,HOME OWNER,101659,71500,3.17,3.0,15.0,126.0,5.0,4.0,150.0,7.9225,0.2641,0.0677813986013986,1.218195,0.08391608391608392,121.8195,0.03333543704638687,39,20,40,0
1957,2023-03-13,Active,14600.0,17003.66,10696.95,0.2999,60,1995-05-11,FEMALE,BC,RENTER,55000,55000,3.33,3.0,19.0,166.0,0.0,0.0,185.0,9.6354,0.3212,0.19449000000000002,1.1646342465753425,0.26545454545454544,283.39433333333335,0.03333540901259937,29,20,40,0
1995,2023-03-31,Active,11200.0,14108.79,9180.25,0.2699,60,1962-08-13,MALE,ON,HOME OWNER,101606,104000,3.67,5.0,6.0,3.0,0.0,0.0,9.0,0.4839,0.0161,0.08827163461538462,1.259713392857143,0.1076923076923077,235.1465,0.033271337053110146,62,19,41,0
11011,2023-03-16,Active,15500.0,21318.78,13158.1,0.2999,44,1979-07-09,MALE,ON,RENTER,66500,66500,2.33,4.0,10.0,155.0,0.0,0.0,165.0,8.6387,0.288,0.19786616541353383,1.3754051612903224,0.23308270676691728,484.51772727272726,0.033338349520182435,45,20,24,0
11020,2023-05-03,Active,25000.0,33464.07,20985.45,0.2799,60,1962-09-05,FEMALE,AB,HOME OWNER,103045,103000,1.5,2.0,0.0,8.0,0.0,0.0,8.0,0.4571,0.0152,0.20374223300970876,1.3385628,0.24271844660194175,557.7345,0.03325311747976373,62,18,42,0
