Resampling,Model,Accuracy,Precision,Recall,F1-Score,AUC,Best_Params
No Resampling,Logistic Regression,0.82,0.67,0.18,0.29,0.86,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}"
No Resampling,Decision Tree,0.74,0.25,0.18,0.21,0.57,"{'max_depth': 5, 'min_samples_split': 10}"
No Resampling,Random Forest,0.86,1.0,0.27,0.43,0.77,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}"
No Resampling,XGBoost,0.82,1.0,0.09,0.17,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}"
No Resampling,LightGBM,0.81,0.0,0.0,0.0,0.76,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 100}"
No Resampling,KNN,0.82,1.0,0.09,0.17,0.73,"{'n_neighbors': 7, 'weights': 'uniform'}"
Random Under-Sampling,Logistic Regression,0.75,0.42,0.73,0.53,0.84,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}"
Random Under-Sampling,Decision Tree,0.72,0.37,0.64,0.47,0.7,"{'max_depth': 5, 'min_samples_split': 2}"
Random Under-Sampling,Random Forest,0.67,0.33,0.73,0.46,0.76,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}"
Random Under-Sampling,XGBoost,0.61,0.28,0.64,0.39,0.68,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}"
Random Under-Sampling,LightGBM,0.74,0.4,0.73,0.52,0.74,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 100}"
Random Under-Sampling,KNN,0.72,0.38,0.73,0.5,0.79,"{'n_neighbors': 7, 'weights': 'uniform'}"
Random Over-Sampling,Logistic Regression,0.72,0.38,0.73,0.5,0.85,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}"
Random Over-Sampling,Decision Tree,0.74,0.36,0.45,0.4,0.63,"{'max_depth': None, 'min_samples_split': 2}"
Random Over-Sampling,Random Forest,0.77,0.38,0.27,0.32,0.77,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
Random Over-Sampling,XGBoost,0.7,0.25,0.27,0.26,0.77,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}"
Random Over-Sampling,LightGBM,0.82,0.57,0.36,0.44,0.78,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 200}"
Random Over-Sampling,KNN,0.7,0.36,0.73,0.48,0.75,"{'n_neighbors': 7, 'weights': 'distance'}"
SMOTE,Logistic Regression,0.74,0.4,0.73,0.52,0.85,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}"
SMOTE,Decision Tree,0.74,0.33,0.36,0.35,0.58,"{'max_depth': 5, 'min_samples_split': 10}"
SMOTE,Random Forest,0.7,0.31,0.45,0.37,0.75,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
SMOTE,XGBoost,0.74,0.33,0.36,0.35,0.78,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}"
SMOTE,LightGBM,0.75,0.38,0.45,0.42,0.83,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 100}"
SMOTE,KNN,0.72,0.38,0.73,0.5,0.77,"{'n_neighbors': 3, 'weights': 'distance'}"
ADASYN,Logistic Regression,0.74,0.4,0.73,0.52,0.85,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}"
ADASYN,Decision Tree,0.68,0.29,0.45,0.36,0.61,"{'max_depth': 5, 'min_samples_split': 10}"
ADASYN,Random Forest,0.74,0.36,0.45,0.4,0.78,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
ADASYN,XGBoost,0.72,0.33,0.45,0.38,0.77,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}"
ADASYN,LightGBM,0.7,0.31,0.45,0.37,0.76,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}"
ADASYN,KNN,0.79,0.47,0.73,0.57,0.72,"{'n_neighbors': 3, 'weights': 'distance'}"
SMOTEENN,Logistic Regression,0.67,0.36,0.91,0.51,0.84,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}"
SMOTEENN,Decision Tree,0.68,0.33,0.64,0.44,0.67,"{'max_depth': None, 'min_samples_split': 5}"
SMOTEENN,Random Forest,0.67,0.32,0.64,0.42,0.77,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}"
SMOTEENN,XGBoost,0.7,0.35,0.64,0.45,0.72,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
SMOTEENN,LightGBM,0.7,0.36,0.73,0.48,0.75,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 100}"
SMOTEENN,KNN,0.6,0.29,0.73,0.41,0.74,"{'n_neighbors': 7, 'weights': 'distance'}"
