Resampling,Model,Accuracy,Precision,Recall,F1-Score,AUC,Best_Params
No Resampling,Logistic Regression,0.84,1.0,0.09,0.17,0.8,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}"
No Resampling,Decision Tree,0.75,0.27,0.27,0.27,0.55,"{'max_depth': None, 'min_samples_split': 5}"
No Resampling,Random Forest,0.83,0.5,0.09,0.15,0.74,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}"
No Resampling,XGBoost,0.83,0.5,0.18,0.27,0.67,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
No Resampling,LightGBM,0.73,0.2,0.18,0.19,0.74,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 200}"
No Resampling,SVC,0.86,1.0,0.18,0.31,0.8,"{'C': 1, 'kernel': 'linear'}"
No Resampling,KNN,0.75,0.14,0.09,0.11,0.63,"{'n_neighbors': 7, 'weights': 'distance'}"
Random Under-Sampling,Logistic Regression,0.67,0.31,0.73,0.43,0.76,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
Random Under-Sampling,Decision Tree,0.65,0.31,0.82,0.45,0.78,"{'max_depth': None, 'min_samples_split': 10}"
Random Under-Sampling,Random Forest,0.62,0.29,0.82,0.43,0.69,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Random Under-Sampling,XGBoost,0.62,0.29,0.82,0.43,0.75,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}"
Random Under-Sampling,LightGBM,0.76,0.39,0.64,0.48,0.74,"{'learning_rate': 0.01, 'max_depth': -1, 'n_estimators': 200}"
Random Under-Sampling,SVC,0.71,0.29,0.45,0.36,0.76,"{'C': 1, 'kernel': 'linear'}"
Random Under-Sampling,KNN,0.62,0.26,0.64,0.37,0.68,"{'n_neighbors': 5, 'weights': 'distance'}"
Random Over-Sampling,Logistic Regression,0.73,0.36,0.73,0.48,0.79,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
Random Over-Sampling,Decision Tree,0.76,0.3,0.27,0.29,0.57,"{'max_depth': None, 'min_samples_split': 5}"
Random Over-Sampling,Random Forest,0.78,0.29,0.18,0.22,0.74,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Random Over-Sampling,XGBoost,0.68,0.2,0.27,0.23,0.72,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}"
Random Over-Sampling,LightGBM,0.75,0.31,0.36,0.33,0.72,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 200}"
Random Over-Sampling,SVC,0.67,0.22,0.36,0.28,0.62,"{'C': 10, 'kernel': 'rbf'}"
Random Over-Sampling,KNN,0.7,0.21,0.27,0.24,0.6,"{'n_neighbors': 7, 'weights': 'distance'}"
SMOTE,Logistic Regression,0.65,0.24,0.45,0.31,0.76,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
SMOTE,Decision Tree,0.62,0.19,0.36,0.25,0.62,"{'max_depth': None, 'min_samples_split': 5}"
SMOTE,Random Forest,0.75,0.31,0.36,0.33,0.72,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
SMOTE,XGBoost,0.67,0.22,0.36,0.28,0.67,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}"
SMOTE,LightGBM,0.65,0.18,0.27,0.21,0.65,"{'learning_rate': 0.2, 'max_depth': -1, 'n_estimators': 200}"
SMOTE,SVC,0.67,0.19,0.27,0.22,0.63,"{'C': 10, 'kernel': 'rbf'}"
SMOTE,KNN,0.73,0.29,0.36,0.32,0.58,"{'n_neighbors': 5, 'weights': 'distance'}"
ADASYN,Logistic Regression,0.71,0.35,0.73,0.47,0.79,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
ADASYN,Decision Tree,0.63,0.29,0.73,0.41,0.76,"{'max_depth': 5, 'min_samples_split': 5}"
ADASYN,Random Forest,0.73,0.25,0.27,0.26,0.7,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
ADASYN,XGBoost,0.71,0.29,0.45,0.36,0.77,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
ADASYN,LightGBM,0.65,0.21,0.36,0.27,0.7,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}"
ADASYN,SVC,0.65,0.21,0.36,0.27,0.65,"{'C': 10, 'kernel': 'rbf'}"
ADASYN,KNN,0.68,0.24,0.36,0.29,0.58,"{'n_neighbors': 5, 'weights': 'distance'}"
SMOTEENN,Logistic Regression,0.6,0.21,0.45,0.29,0.72,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}"
SMOTEENN,Decision Tree,0.75,0.37,0.64,0.47,0.7,"{'max_depth': None, 'min_samples_split': 2}"
SMOTEENN,Random Forest,0.73,0.35,0.64,0.45,0.68,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
SMOTEENN,XGBoost,0.62,0.22,0.45,0.29,0.7,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}"
SMOTEENN,LightGBM,0.65,0.24,0.45,0.31,0.72,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 200}"
SMOTEENN,SVC,0.59,0.2,0.45,0.28,0.67,"{'C': 1, 'kernel': 'rbf'}"
SMOTEENN,KNN,0.6,0.21,0.45,0.29,0.64,"{'n_neighbors': 5, 'weights': 'distance'}"
