Feature,Importance
fico_score,0.6654436428136409
Residential Status_LIVE WITH FAMILY,0.08086887899094469
Province_MB,0.05529035145805535
Province_ON,0.05232908028765406
Residential Status_RENTING,0.03130416485843156
Residential Status_RENTER,0.027735644637053084
Province_AB,0.027446293925167172
Gender_MALE,0.02724958409557808
Residential Status_HOME OWNER,0.024507632798889796
Province_NS,0.007824726134585291
Gender_FEMALE,0.0
Province_BC,0.0
Province_NB,0.0
Province_NFLD,0.0
Province_PEI,0.0
Province_SK,0.0
