Feature,Importance
fico_score,0.0978835978835979
Province_BC,0.071957671957672
Residential Status_RENTER,0.047619047619047644
Gender_FEMALE,0.04232804232804235
Gender_MALE,0.04232804232804235
Province_ON,0.03386243386243389
Residential Status_LIVE WITH FAMILY,0.0322751322751323
Residential Status_HOME OWNER,0.02169312169312171
Province_AB,0.013756613756613778
Province_MB,0.005820105820105844
Province_PEI,0.0015873015873016
Province_SK,0.0015873015873015927
Province_NS,1.1102230246251566e-17
Province_NFLD,3.7007434154171884e-18
Province_NB,0.0
Residential Status_RENTING,0.0
