Feature,Importance
fico_score,0.019047619047619067
Province_NB,0.0
Residential Status_RENTING,0.0
Province_NS,-0.0015873015873015817
Province_PEI,-0.0015873015873015817
Province_SK,-0.0015873015873015817
Province_NFLD,-0.0021164021164021087
Province_MB,-0.0031746031746031594
Province_AB,-0.0042328042328042175
Residential Status_HOME OWNER,-0.005291005291005276
Residential Status_LIVE WITH FAMILY,-0.011111111111111094
Province_BC,-0.013756613756613719
Residential Status_RENTER,-0.01587301587301584
Province_ON,-0.03386243386243383
Gender_FEMALE,-0.03756613756613752
Gender_MALE,-0.03756613756613752
