Feature,Importance
fico_score,0.12010582010582006
Province_BC,0.08042328042328034
Province_ON,0.07936507936507933
Residential Status_HOME OWNER,0.030687830687830656
Gender_FEMALE,0.026455026455026422
Gender_MALE,0.026455026455026422
Province_AB,0.02486772486772484
Residential Status_RENTER,0.013756613756613738
Province_MB,0.008994708994708974
Province_PEI,0.0037037037037036904
Province_NS,0.0026455026455026362
Province_SK,0.0021164021164021087
Province_NFLD,0.0005291005291005272
Province_NB,0.0
Residential Status_RENTING,0.0
Residential Status_LIVE WITH FAMILY,-0.021693121693121722
