Feature,Importance
fico_score,0.09788359788359786
Province_ON,0.06507936507936506
Province_BC,0.03703703703703699
Residential Status_HOME OWNER,0.026455026455026436
Province_AB,0.015343915343915316
Province_MB,0.0042328042328042175
Province_NS,0.0005291005291005272
Province_PEI,0.0005291005291005272
Province_SK,0.0005291005291005272
Province_NB,0.0
Province_NFLD,0.0
Residential Status_RENTING,0.0
Gender_FEMALE,-0.00846560846560849
Gender_MALE,-0.00846560846560849
Residential Status_RENTER,-0.011111111111111146
Residential Status_LIVE WITH FAMILY,-0.03068783068783072
