Feature,Importance
Province_MB,3.673323881906684
Residential Status_RENTING,3.1410138231061793
Province_NB,2.833379832587248
Province_NS,1.672213705295308
fico_score,1.3803994128540575
Residential Status_LIVE WITH FAMILY,1.3182424242715851
Province_PEI,1.2601576862317987
Province_NFLD,1.149583435540979
Residential Status_RENTER,1.0967166614336303
Province_ON,0.8791970905830235
Province_SK,0.7697948920668338
Residential Status_HOME OWNER,0.7262902203283775
Province_BC,0.6323828371701947
Province_AB,0.42079948873943657
Gender_MALE,0.2491335819479721
Gender_FEMALE,0.24889809902055912
