Feature,Importance
fico_score,0.7718443021993698
Province_MB,0.17466397984190393
Province_BC,0.1387142097971332
Province_NS,0.11394925303427114
Residential Status_LIVE WITH FAMILY,0.09857862404022327
Residential Status_RENTING,0.09716026062127033
Province_NB,0.09437205542254509
Province_ON,0.06070659712053069
Province_AB,0.059607392683630404
Province_PEI,0.02058194019265365
Province_NFLD,0.02039441745294252
Gender_MALE,0.019075466113608157
Gender_FEMALE,0.019054225336110148
Province_SK,0.015628573670302938
Residential Status_HOME OWNER,0.004024556098024973
Residential Status_RENTER,0.0026274334565699184
