Feature,Importance
Province_NB,2.6508991431439055
Residential Status_RENTING,2.6349374094441385
Province_NS,2.4763864508304723
Province_MB,2.3528379817317546
fico_score,1.3805334092469639
Province_PEI,1.3616694446565343
Residential Status_LIVE WITH FAMILY,1.2699724111034636
Province_NFLD,1.1175656993556315
Province_ON,0.8287002263594855
Province_SK,0.7590694961970639
Residential Status_RENTER,0.7005382297038566
Residential Status_HOME OWNER,0.6554962806435353
Province_AB,0.573755805332998
Gender_FEMALE,0.3652731801763244
Gender_MALE,0.3563426921830378
Province_BC,0.35140716889485835
