Feature,Importance
Province_MB,2.3443389267714285
Province_NS,2.261451876769503
Province_NB,2.1713736724624306
Residential Status_RENTING,1.7685941403353966
Province_BC,1.5911943812516167
fico_score,1.421634273375365
Residential Status_HOME OWNER,1.2678632026470362
Province_AB,0.7840745814107656
Province_NFLD,0.5364389984209772
Province_ON,0.47745179313491215
Gender_MALE,0.41164876307008486
Gender_FEMALE,0.4114877999400344
Residential Status_RENTER,0.2823145147449976
Residential Status_LIVE WITH FAMILY,0.21857738607340826
Province_PEI,0.0
Province_SK,0.0
