Feature,Importance
fico_score,3.3848511243145056
Province_AB,1.4438547277230964
Residential Status_RENTER,1.3727364101865833
Province_MB,1.0655349669582772
Province_NS,0.8385398457127422
Residential Status_RENTING,0.7079557347238131
Residential Status_HOME OWNER,0.4818803489501919
Province_PEI,0.3210156978665707
Gender_MALE,0.254122596949354
Gender_FEMALE,0.25411191776800046
Residential Status_LIVE WITH FAMILY,0.1828896473312235
Province_ON,0.0900996585450223
Province_BC,0.02539310943994936
Province_NB,0.02370093991502679
Province_NFLD,0.0
Province_SK,0.0
