Feature,Importance
fico_score,0.5331425711809952
Province_ON,0.06778334821337631
Residential Status_RENTER,0.066482932443773
Province_MB,0.05951411383359928
Residential Status_LIVE WITH FAMILY,0.04803055220285525
Province_BC,0.0398974006768046
Gender_FEMALE,0.03507605543694532
Residential Status_HOME OWNER,0.032460516121801494
Province_AB,0.031416865701724826
Gender_MALE,0.030334087721413754
Province_NS,0.020728440641386355
Residential Status_RENTING,0.018045603345666336
Province_NB,0.013404680385451537
Province_PEI,0.0018100956622696326
Province_NFLD,0.0015366450054842891
Province_SK,0.00033609142645269223
