Feature,Importance
fico_score,0.6966656954457837
Province_MB,0.06720340385816505
Province_NS,0.03881961353276948
Province_ON,0.027911058948480262
Residential Status_LIVE WITH FAMILY,0.025987580633849813
Province_BC,0.021972550167363974
Residential Status_RENTER,0.020771731143091728
Residential Status_HOME OWNER,0.019099047558016308
Province_AB,0.018869164713602435
Gender_FEMALE,0.018461609213252152
Gender_MALE,0.0157011470117344
Province_NB,0.015557713671790587
Residential Status_RENTING,0.010206610768417446
Province_NFLD,0.0013179357441096844
Province_PEI,0.0009896653509314831
Province_SK,0.00046547223864142127
