Feature,Importance
fico_score,0.7608466333067072
Province_NS,0.025501379605742714
Residential Status_LIVE WITH FAMILY,0.023335353657123695
Residential Status_RENTER,0.02278495020879801
Gender_FEMALE,0.021441894921781893
Residential Status_RENTING,0.020893706880489835
Province_ON,0.02034113667149823
Gender_MALE,0.020019329875165595
Province_BC,0.01884610770790396
Province_AB,0.017775682018363236
Province_NB,0.015681153085572212
Residential Status_HOME OWNER,0.012946618009388027
Province_MB,0.012888997663085473
Province_PEI,0.002684824805881349
Province_NFLD,0.0023398506783248703
Province_SK,0.001672380904173648
