Feature,Importance
fico_score,0.6455796724653958
Province_AB,0.05596498871426793
Province_ON,0.03824649135036852
Gender_FEMALE,0.03613158780666077
Province_BC,0.035603937604419614
Gender_MALE,0.03293183031013593
Province_MB,0.026931537585646488
Residential Status_RENTER,0.02606462440813032
Province_NB,0.023137608514127384
Residential Status_LIVE WITH FAMILY,0.021573642561907625
Province_NS,0.018935015037822744
Residential Status_HOME OWNER,0.016839444515376525
Residential Status_RENTING,0.01575455621959195
Province_NFLD,0.006305062906148468
Province_PEI,0.0
Province_SK,0.0
