Feature,Importance
fico_score,0.5696157298266541
Province_ON,0.06660154052710841
Province_MB,0.05274612012189364
Province_BC,0.04943176598744339
Residential Status_RENTER,0.04857552532918166
Province_AB,0.045580427057799924
Residential Status_LIVE WITH FAMILY,0.034922621058147536
Gender_FEMALE,0.026068231906253073
Province_NS,0.02546337388202628
Gender_MALE,0.02299371845678815
Residential Status_HOME OWNER,0.018409883378819297
Province_NB,0.018259213654441806
Residential Status_RENTING,0.017848482815508424
Province_NFLD,0.0017350071236782872
Province_PEI,0.0014777302921766835
Province_SK,0.0002706285820793982
