Feature,Importance
fico_score,0.6613810653312852
Province_MB,0.05829487283543085
Province_AB,0.05675636721686329
Province_ON,0.05036224292370283
Residential Status_RENTER,0.03873746019189351
Province_BC,0.025873354986117772
Gender_FEMALE,0.022858376973256683
Gender_MALE,0.018089890931806695
Residential Status_RENTING,0.017876049092255628
Province_NS,0.016311702038712128
Residential Status_HOME OWNER,0.015344319120598374
Residential Status_LIVE WITH FAMILY,0.014850191750833307
Province_PEI,0.0025184703053740334
Province_NB,0.0007456363018698341
Province_NFLD,0.0
Province_SK,0.0
