Feature,Importance
fico_score,0.08201058201058203
Province_BC,0.037566137566137595
Province_NS,0.011111111111111138
Province_SK,0.010052910052910091
Gender_FEMALE,0.004761904761904793
Gender_MALE,0.004761904761904793
Province_AB,0.002645502645502673
Province_NB,0.0
Residential Status_RENTING,0.0
Province_MB,-0.0026455026455026323
Province_NFLD,-0.005820105820105796
Province_ON,-0.007407407407407381
Residential Status_HOME OWNER,-0.014285714285714261
Province_PEI,-0.021164021164021125
Residential Status_LIVE WITH FAMILY,-0.035449735449735426
Residential Status_RENTER,-0.045502645502645475
