Feature,Importance
fico_score,0.10370370370370367
Province_BC,0.021693121693121663
Province_NS,0.012698412698412664
Province_MB,0.006349206349206323
Province_SK,0.0005291005291005235
Province_NB,0.0
Residential Status_RENTING,0.0
Residential Status_LIVE WITH FAMILY,-2.960594732333751e-17
Province_PEI,-0.0005291005291005309
Province_NFLD,-0.0026455026455026545
Gender_FEMALE,-0.002645502645502673
Gender_MALE,-0.002645502645502673
Province_AB,-0.01111111111111115
Residential Status_HOME OWNER,-0.024867724867724903
Residential Status_RENTER,-0.037037037037037056
Province_ON,-0.04444444444444446
