Feature,Importance
Province_MB,1.1867406909601665
Province_NS,1.1778765464875975
Province_BC,1.0
Province_NB,1.0
fico_score,0.871107072171351
Residential Status_RENTING,0.7831452100069639
Province_AB,0.5642059432084836
Residential Status_HOME OWNER,0.40805201937716074
Residential Status_RENTER,0.27086178243081216
Gender_FEMALE,0.21964504984712724
Gender_MALE,0.21964504984712674
Province_ON,0.19958870576071858
Residential Status_LIVE WITH FAMILY,0.1042314081989905
Province_NFLD,0.0
Province_PEI,0.0
Province_SK,0.0
