Feature,Importance
fico_score,0.08783068783068783
Province_BC,0.04391534391534388
Province_SK,0.011111111111111068
Province_ON,0.008994708994708963
Province_AB,0.00476190476190473
Province_NB,0.0
Residential Status_RENTING,0.0
Province_MB,-0.0005291005291005384
Province_NS,-0.0021164021164021274
Province_NFLD,-0.0026455026455026545
Residential Status_LIVE WITH FAMILY,-0.003703703703703731
Residential Status_HOME OWNER,-0.00846560846560849
Province_PEI,-0.01904761904761909
Gender_FEMALE,-0.021164021164021194
Gender_MALE,-0.021164021164021194
Residential Status_RENTER,-0.023280423280423308
