Feature,Importance
fico_score,0.057142857142857176
Province_BC,0.0037037037037037277
Province_MB,0.0021164021164021274
Province_NB,0.0
Residential Status_RENTING,0.0
Province_NS,-0.0005291005291005198
Province_PEI,-0.0026455026455026362
Province_SK,-0.0031746031746031633
Province_NFLD,-0.0037037037037036904
Province_AB,-0.00476190476190473
Residential Status_HOME OWNER,-0.007936507936507912
Gender_FEMALE,-0.014814814814814784
Gender_MALE,-0.014814814814814784
Province_ON,-0.020105820105820082
Residential Status_LIVE WITH FAMILY,-0.030687830687830656
Residential Status_RENTER,-0.06772486772486769
