ID,Loan Status,Outstanding Balance,Outstanding Principal,Interest Rate,Gender,Residential Status,"Qualified / Verified
Income",Total Activies ,Cluster
1233,Active,2195.71,1494.52,0.2799,FEMALE,HOME OWNER,69000.0,28.0,2
1280,Active,10013.71,7696.66,0.2999,MALE,RENTER,96500.0,283.0,2
1295,Active,14118.88,9508.71,0.2999,MALE,LIVE WITH FAMILY,74000.0,13.0,0
1366,Active,15395.58,10238.12,0.2799,FEMALE,RENTER,40400.0,404.0,2
1372,Active,8792.27,5983.12,0.2699,MALE,RENTER,72300.0,3.0,2
1413,Active,27532.61,18590.9,0.2899,MALE,RENTER,109800.0,359.0,2
1416,Active,12596.23,8505.34,0.2899,FEMALE,HOME OWNER,60200.0,263.0,2
1461,Active,2804.76,1959.79,0.2499,MALE,RENTER,91000.0,233.0,2
1463,Active,27566.5,17851.63,0.2999,MALE,RENTER,120000.0,255.0,2
1469,Active,28274.4,19154.02,0.2799,FEMALE,RENTER,81400.0,325.0,2
1478,Active,23825.4,15634.38,0.2899,MALE,RENTER,59300.0,265.0,2
1480,Active,5523.41,3683.6,0.2999,MALE,LIVE WITH FAMILY,45500.0,334.0,0
1602,Active,11931.13,7829.34,0.2899,MALE,LIVE WITH FAMILY,37500.0,135.0,0
1702,Active,31419.85,20053.6,0.2999,MALE,RENTER,79800.0,225.0,2
1713,Active,18128.84,11570.51,0.2999,MALE,RENTER,115800.0,32.0,2
1717,Active,25499.05,16196.38,0.2999,MALE,RENTER,60300.0,281.0,2
1722,Active,29094.3,18912.99,0.2799,MALE,RENTER,605300.0,126.0,1
1787,Active,2992.96,1864.92,0.2999,FEMALE,HOME OWNER,86800.0,161.0,2
1804,Active,12656.34,8038.93,0.2999,FEMALE,LIVE WITH FAMILY,51000.0,183.0,0
1831,Active,26141.74,16445.52,0.2999,FEMALE,RENTER,120000.0,72.0,2
1916,Active,19796.77,12394.57,0.2999,MALE,RENTER,54300.0,304.0,2
1937,Active,22963.55,14265.41,0.2999,MALE,RENTER,160000.0,27.0,2
1944,Active,15078.68,9926.98,0.2599,FEMALE,RENTER,48000.0,167.0,2
1954,Active,7309.17,4846.37,0.2599,MALE,HOME OWNER,71500.0,150.0,2
1957,Active,17003.66,10696.95,0.2999,FEMALE,RENTER,55000.0,185.0,2
1995,Active,14108.79,9180.25,0.2699,MALE,HOME OWNER,104000.0,9.0,2
11011,Active,21318.78,13158.1,0.2999,MALE,RENTER,66500.0,165.0,2
11020,Active,33464.07,20985.45,0.2799,FEMALE,HOME OWNER,103000.0,8.0,2
11036,Active,15835.69,10027.2,0.2799,FEMALE,LIVE WITH FAMILY,89300.0,354.0,0
11244,Active,17701.08,11517.82,0.2499,MALE,HOME OWNER,70000.0,166.0,2
11247,Active,31074.27,19088.18,0.2999,MALE,HOME OWNER,106000.0,29.0,2
11248,Active,8129.98,4993.96,0.2999,FEMALE,RENTER,52000.0,75.0,2
11250,Active,12358.2,7794.7,0.2699,FEMALE,RENTER,64700.0,151.0,2
11272,Active,20554.71,12746.99,0.2999,FEMALE,LIVE WITH FAMILY,70000.0,198.0,0
11274,Active,14839.17,9473.16,0.2799,MALE,HOME OWNER,77000.0,45.0,2
11332,Active,33335.81,20477.06,0.2999,MALE,RENTER,90000.0,168.0,2
11345,Active,15468.3,10169.47,0.2599,FEMALE,LIVE WITH FAMILY,46000.0,159.0,0
11392,Active,10646.53,6571.04,0.2999,MALE,RENTER,55800.0,167.0,2
