,raceId,year,round,circuitId,circuit_type,circuit_type_num,driverId,grid,rank,position,positionOrder,time,new_time_seconds,stop,laps,constructorId,points,cumulative_time_seconds,Race_Circuit,Street_Circuit,Road_Circuit
50,841,2011,1,1,street circuit,2,20,1,4,1,1,1:29:30.259,5370.259,1,58,9,25.0,5370.259,0,1,0
51,841,2011,1,1,street circuit,2,20,1,4,1,1,1:29:30.259,5370.259,2,58,9,25.0,10740.518,0,1,0
76,841,2011,1,1,street circuit,2,1,2,8,2,2,+22.297,22.297,1,58,1,18.0,10762.815,0,1,0
77,841,2011,1,1,street circuit,2,1,2,8,2,2,+22.297,22.297,2,58,1,18.0,10785.112,0,1,0
94,841,2011,1,1,street circuit,2,808,6,7,3,3,+30.560,30.56,1,58,4,15.0,10815.672,0,1,0
95,841,2011,1,1,street circuit,2,808,6,7,3,3,+30.560,30.56,2,58,4,15.0,10846.232,0,1,0
13,841,2011,1,1,street circuit,2,4,5,2,4,4,+31.772,31.772,1,58,6,12.0,10878.004,0,1,0
14,841,2011,1,1,street circuit,2,4,5,2,4,4,+31.772,31.772,2,58,6,12.0,10909.776,0,1,0
15,841,2011,1,1,street circuit,2,4,5,2,4,4,+31.772,31.772,3,58,6,12.0,10941.548,0,1,0
5,841,2011,1,1,street circuit,2,17,3,3,5,5,+38.171,38.171,1,58,9,10.0,10979.719,0,1,0
6,841,2011,1,1,street circuit,2,17,3,3,5,5,+38.171,38.171,2,58,9,10.0,11017.89,0,1,0
7,841,2011,1,1,street circuit,2,17,3,3,5,5,+38.171,38.171,3,58,9,10.0,11056.061,0,1,0
117,841,2011,1,1,street circuit,2,18,4,5,6,6,+54.304,54.304,1,58,1,8.0,11110.365,0,1,0
118,841,2011,1,1,street circuit,2,18,4,5,6,6,+54.304,54.304,2,58,1,8.0,11164.669,0,1,0
119,841,2011,1,1,street circuit,2,18,4,5,6,6,+54.304,54.304,3,58,1,8.0,11218.973,0,1,0
33,841,2011,1,1,street circuit,2,13,8,1,7,7,+1:25.186,85.186,1,58,6,6.0,11304.159,0,1,0
34,841,2011,1,1,street circuit,2,13,8,1,7,7,+1:25.186,85.186,2,58,6,6.0,11389.345,0,1,0
35,841,2011,1,1,street circuit,2,13,8,1,7,7,+1:25.186,85.186,3,58,6,6.0,11474.531,0,1,0
72,841,2011,1,1,street circuit,2,67,10,11,8,8,\N,0.0,1,57,5,4.0,0.0,0,1,0
73,841,2011,1,1,street circuit,2,67,10,11,8,8,\N,0.0,2,57,5,4.0,0.0,0,1,0
110,841,2011,1,1,street circuit,2,16,16,13,9,9,\N,0.0,1,57,10,2.0,0.0,0,1,0
111,841,2011,1,1,street circuit,2,16,16,13,9,9,\N,0.0,2,57,10,2.0,0.0,0,1,0
64,841,2011,1,1,street circuit,2,814,14,14,10,10,\N,0.0,1,57,10,1.0,0.0,0,1,0
65,841,2011,1,1,street circuit,2,814,14,14,10,10,\N,0.0,2,57,10,1.0,0.0,0,1,0
0,841,2011,1,1,street circuit,2,153,12,10,11,11,\N,0.0,1,57,5,0.0,0.0,0,1,0
1,841,2011,1,1,street circuit,2,153,12,10,11,11,\N,0.0,2,57,5,0.0,0.0,0,1,0
2,841,2011,1,1,street circuit,2,153,12,10,11,11,\N,0.0,3,57,5,0.0,0.0,0,1,0
74,841,2011,1,1,street circuit,2,2,18,15,12,12,\N,0.0,1,57,4,0.0,0.0,0,1,0
75,841,2011,1,1,street circuit,2,2,18,15,12,12,\N,0.0,2,57,4,0.0,0.0,0,1,0
115,841,2011,1,1,street circuit,2,15,20,16,13,13,\N,0.0,1,56,205,0.0,0.0,0,1,0
116,841,2011,1,1,street circuit,2,15,20,16,13,13,\N,0.0,2,56,205,0.0,0.0,0,1,0
70,841,2011,1,1,street circuit,2,816,22,19,14,14,\N,0.0,1,54,166,0.0,0.0,0,1,0
71,841,2011,1,1,street circuit,2,816,22,19,14,14,\N,0.0,2,54,166,0.0,0.0,0,1,0
135,841,2011,1,1,street circuit,2,10,21,22,\N,15,\N,0.0,1,49,166,0.0,0.0,0,1,0
46,841,2011,1,1,street circuit,2,22,17,12,\N,16,\N,0.0,1,48,3,0.0,0.0,0,1,0
47,841,2011,1,1,street circuit,2,22,17,12,\N,16,\N,0.0,2,48,3,0.0,0.0,0,1,0
48,841,2011,1,1,street circuit,2,22,17,12,\N,16,\N,0.0,3,48,3,0.0,0.0,0,1,0
49,841,2011,1,1,street circuit,2,22,17,12,\N,16,\N,0.0,4,48,3,0.0,0.0,0,1,0
97,841,2011,1,1,street circuit,2,3,7,17,\N,17,\N,0.0,1,22,131,0.0,0.0,0,1,0
131,841,2011,1,1,street circuit,2,5,19,20,\N,18,\N,0.0,1,19,205,0.0,0.0,0,1,0
3,841,2011,1,1,street circuit,2,30,11,21,\N,19,\N,0.0,1,19,131,0.0,0.0,0,1,0
4,841,2011,1,1,street circuit,2,30,11,21,\N,19,\N,0.0,2,19,131,0.0,0.0,0,1,0
106,841,2011,1,1,street circuit,2,155,9,9,\N,21,\N,0.0,1,58,15,0.0,0.0,0,1,0
107,841,2011,1,1,street circuit,2,155,9,9,\N,21,\N,0.0,2,58,15,0.0,0.0,0,1,0
