,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather,Air density,Wind Spd (m/s),PowerProduction,Power (Watts),Power (MW)
0,1,1,00:00:00,4.3,,4.0,,98,,8.0,,11,,4.8,,98.49,,,,,,"Rain,Fog",1.2366586998716662,3.0555580000000004,0.0,0.0,0.0
1,1,1,01:00:00,5.1,,5.0,,99,,,M,4,,16.1,,98.47,,,,,,,1.2328527655224404,1.111112,0.0,0.0,0.0
2,1,1,02:00:00,5.9,,5.6,,98,,31.0,,28,,4.0,,98.57,,,,,,"Rain,Fog",1.2305667563895109,7.7777840000000005,1344892.219731245,1344892.219731245,1.344892219731245
3,1,1,03:00:00,3.3,,2.6,,95,,30.0,,34,,16.1,,98.98,,,,,,,1.2473068401605205,9.444452,2440721.707747115,2440721.707747115,2.4407217077471146
4,1,1,04:00:00,2.8,,1.2,,89,,30.0,,28,,16.1,,99.29,,,,,,,1.2534804391751584,7.7777840000000005,1369934.6918635352,1369934.6918635352,1.3699346918635351
5,1,1,05:00:00,3.2,,0.6,,83,,29.0,,24,,16.1,,99.66,,,,,,,1.256330382618847,6.666672,864660.8520080261,864660.8520080261,0.8646608520080261
6,1,1,06:00:00,2.7,,-0.2,,81,,32.0,,30,,16.1,,99.94,,,,,,,1.2621437051135227,8.333340000000002,1696605.1400918828,1696605.1400918828,1.6966051400918827
7,1,1,07:00:00,2.3,,-1.0,,79,,31.0,,24,,16.1,,100.21,,,,,,,1.267391336859774,6.666672,872273.478631005,872273.478631005,0.872273478631005
8,1,1,08:00:00,1.9,,-1.7,,77,,31.0,,15,,16.1,,100.52,,,,,,,1.2731608615380252,4.166670000000001,213926.8346680598,213926.8346680598,0.2139268346680598
9,1,1,09:00:00,1.5,,-2.5,,75,,30.0,,26,,16.1,,100.77,,,,,,,1.27818614009,7.222228,1118464.8924753182,1118464.8924753182,1.1184648924753182
10,1,1,10:00:00,1.0,,-3.0,,75,,33.0,,22,,16.1,,100.85,,,,,,,1.281533906499426,6.111116000000001,679369.9798295302,679369.9798295302,0.6793699798295302
11,1,1,11:00:00,-0.1,,-4.4,,73,,31.0,,24,,16.1,,100.97,,,,-6.0,,,1.2882276729663664,6.666672,886613.9454221498,886613.9454221498,0.8866139454221499
12,1,1,12:00:00,-0.1,,-4.4,,73,,30.0,,26,,16.1,,100.99,,,,-6.0,,,1.2884828433482554,7.222228,1127474.9268837527,1127474.9268837527,1.1274749268837527
