,raceId,year,round,circuitId,name_x,date,time_x,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,driverId,stop,lap,time_y,duration,milliseconds_x,driverRef,code,forename,surname,dob,nationality,resultId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds_y,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,circuitRef,name_y,location,country,lat,lng,alt,url,circuit_type
23,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,1,12,16:26:14,21.796,21796,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,22937,1,14,11,\N,R,21,0.0,16,\N,\N,14,11,1:32.553,206.268,4,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
24,969,2017,1,1,Australian Grand Prix,2017-03-26,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,1,16,16:31:00,22.484,22484,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,23392,1,14,12,\N,R,14,0.0,50,\N,\N,48,17,1:30.077,211.938,76,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
25,989,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,1,26,16:53:09,22.573,22573,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,23786,1,14,10,5,5,5,10.0,58,+27.886,5401169,57,7,1:26.978,219.489,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
26,1076,2022,3,1,Australian Grand Prix,2022-04-10,05:00:00,2022-04-08,03:00:00,2022-04-08,06:00:00,2022-04-09,03:00:00,2022-04-09,06:00:00,\N,\N,4,1,39,16:05:24,18.796,18796,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,25462,214,14,10,17,17,17,0.0,57,\N,\N,57,2,1:20.846,235.024,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
27,1076,2022,3,1,Australian Grand Prix,2022-04-10,05:00:00,2022-04-08,03:00:00,2022-04-08,06:00:00,2022-04-09,03:00:00,2022-04-09,06:00:00,\N,\N,4,2,53,16:25:28,18.394,18394,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,25462,214,14,10,17,17,17,0.0,57,\N,\N,57,2,1:20.846,235.024,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
28,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,4,1,8,15:17:48,15:26.940,926940,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,25888,117,14,4,3,3,3,15.0,58,+0.769,9159140,53,4,1:20.476,236.105,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
29,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,4,2,55,16:41:42,14:34.306,874306,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,25888,117,14,4,3,3,3,15.0,58,+0.769,9159140,53,4,1:20.476,236.105,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
30,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,4,3,57,17:02:27,30:45.073,1845073,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,25888,117,14,4,3,3,3,15.0,58,+0.769,9159140,53,4,1:20.476,236.105,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
43,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,1,11,16:24:32,21.550,21550,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,22921,3,19,6,5,5,5,10.0,57,+58.979,6554544,39,9,1:32.288,206.861,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
44,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,2,18,16:37:10,18:09.805,1089805,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,22921,3,19,6,5,5,5,10.0,57,+58.979,6554544,39,9,1:32.288,206.861,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
45,969,2017,1,1,Australian Grand Prix,2017-03-26,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,1,20,16:36:44,21.568,21568,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,23384,3,19,7,6,6,6,8.0,57,+1:23.386,5135058,49,9,1:28.045,216.830,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
58,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,1,13,16:27:17,21.339,21339,vettel,VET,Sebastian,Vettel,1987-07-03,German,22919,6,5,3,3,3,3,15.0,57,+9.643,6505208,23,2,1:29.951,212.235,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
59,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,2,18,16:36:56,18:09.312,1089312,vettel,VET,Sebastian,Vettel,1987-07-03,German,22919,6,5,3,3,3,3,15.0,57,+9.643,6505208,23,2,1:29.951,212.235,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
60,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,3,35,17:21:50,24.548,24548,vettel,VET,Sebastian,Vettel,1987-07-03,German,22919,6,5,3,3,3,3,15.0,57,+9.643,6505208,23,2,1:29.951,212.235,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
61,969,2017,1,1,Australian Grand Prix,2017-03-26,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,1,23,16:40:32,21.988,21988,vettel,VET,Sebastian,Vettel,1987-07-03,German,23379,6,5,2,1,1,1,25.0,57,1:24:11.672,5051672,53,3,1:26.638,220.351,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
62,989,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,1,26,16:52:19,21.787,21787,vettel,VET,Sebastian,Vettel,1987-07-03,German,23782,6,5,3,1,1,1,25.0,58,1:29:33.283,5373283,53,4,1:26.469,220.782,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
63,1010,2019,1,1,Australian Grand Prix,2019-03-17,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,1,14,16:34:28,21.995,21995,vettel,VET,Sebastian,Vettel,1987-07-03,German,24206,6,5,3,4,4,4,12.0,58,+57.109,5184434,16,8,1:27.954,217.054,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
84,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,1,16,16:32:16,21.940,21940,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,22918,131,44,1,2,2,2,18.0,57,+8.060,6503625,48,4,1:30.646,210.608,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
85,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,2,18,16:37:09,18:10.087,1090087,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,22918,131,44,1,2,2,2,18.0,57,+8.060,6503625,48,4,1:30.646,210.608,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
86,969,2017,1,1,Australian Grand Prix,2017-03-26,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,1,17,16:31:40,21.709,21709,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,23380,131,44,1,2,2,2,18.0,57,+9.975,5061647,44,6,1:27.033,219.351,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
87,989,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,1,19,16:41:30,21.821,21821,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,23783,131,44,1,2,2,2,18.0,58,+5.036,5378319,50,3,1:26.444,220.845,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
88,1010,2019,1,1,Australian Grand Prix,2019-03-17,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,1,15,16:35:52,21.515,21515,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,24204,131,44,1,2,2,2,18.0,58,+20.886,5148211,57,2,1:26.057,221.839,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
89,1076,2022,3,1,Australian Grand Prix,2022-04-10,05:00:00,2022-04-08,03:00:00,2022-04-08,06:00:00,2022-04-09,03:00:00,2022-04-09,06:00:00,\N,\N,1,1,22,15:37:22,17.877,17877,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,25449,131,44,5,4,4,4,12.0,58,+28.543,5295091,51,7,1:21.886,232.039,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
90,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,1,1,8,15:17:43,15:25.181,925181,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,25887,131,44,3,2,2,2,18.0,58,+0.179,9158550,49,5,1:20.613,235.703,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
91,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,1,2,55,16:41:40,14:31.670,871670,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,25887,131,44,3,2,2,2,18.0,58,+0.179,9158550,49,5,1:20.613,235.703,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
92,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,1,3,57,17:02:11,30:59.435,1859435,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,25887,131,44,3,2,2,2,18.0,58,+0.179,9158550,49,5,1:20.613,235.703,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
104,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,1,12,16:25:48,21.531,21531,rosberg,ROS,Nico,Rosberg,1985-06-27,German,22917,131,6,2,1,1,1,25.0,57,1:48:15.565,6495565,21,3,1:30.557,210.815,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
