,raceId,year,circuitRef,circuit_type,circuit_type_num,driverId,grid,cumulative_time_seconds,rank,stop
50,841,2011,albert_park,street circuit,2,20,1,5370.259,4,1
51,841,2011,albert_park,street circuit,2,20,1,10740.518,4,2
76,841,2011,albert_park,street circuit,2,1,2,10762.815,8,1
77,841,2011,albert_park,street circuit,2,1,2,10785.112,8,2
94,841,2011,albert_park,street circuit,2,808,6,10815.672,7,1
95,841,2011,albert_park,street circuit,2,808,6,10846.232,7,2
13,841,2011,albert_park,street circuit,2,4,5,10878.004,2,1
14,841,2011,albert_park,street circuit,2,4,5,10909.776,2,2
15,841,2011,albert_park,street circuit,2,4,5,10941.548,2,3
5,841,2011,albert_park,street circuit,2,17,3,10979.719,3,1
6,841,2011,albert_park,street circuit,2,17,3,11017.89,3,2
7,841,2011,albert_park,street circuit,2,17,3,11056.061,3,3
117,841,2011,albert_park,street circuit,2,18,4,11110.365,5,1
118,841,2011,albert_park,street circuit,2,18,4,11164.669,5,2
119,841,2011,albert_park,street circuit,2,18,4,11218.973,5,3
33,841,2011,albert_park,street circuit,2,13,8,11304.159,1,1
34,841,2011,albert_park,street circuit,2,13,8,11389.345,1,2
35,841,2011,albert_park,street circuit,2,13,8,11474.531,1,3
2150,846,2011,monaco,street circuit,2,20,1,7778.373,2,1
2122,846,2011,monaco,street circuit,2,4,4,7779.5109999999995,4,1
2123,846,2011,monaco,street circuit,2,4,4,7780.648999999999,4,2
2217,846,2011,monaco,street circuit,2,18,2,7783.027,3,1
2218,846,2011,monaco,street circuit,2,18,2,7785.405,3,2
2219,846,2011,monaco,street circuit,2,18,2,7787.782999999999,3,3
2118,846,2011,monaco,street circuit,2,17,3,7810.884,1,1
2119,846,2011,monaco,street circuit,2,17,3,7833.985,1,2
2207,846,2011,monaco,street circuit,2,155,12,7860.901,7,1
2175,846,2011,monaco,street circuit,2,1,9,7888.111,5,1
2176,846,2011,monaco,street circuit,2,1,9,7915.321,5,2
2177,846,2011,monaco,street circuit,2,1,9,7942.531,5,3
2970,848,2011,valencia,street circuit,2,20,1,5976.169,1,1
2971,848,2011,valencia,street circuit,2,20,1,11952.338,1,2
2972,848,2011,valencia,street circuit,2,20,1,17928.506999999998,1,3
2955,848,2011,valencia,street circuit,2,4,4,17939.398,2,1
2956,848,2011,valencia,street circuit,2,4,4,17950.289,2,2
2957,848,2011,valencia,street circuit,2,4,4,17961.18,2,3
2950,848,2011,valencia,street circuit,2,17,2,17988.435,4,1
2951,848,2011,valencia,street circuit,2,17,2,18015.69,4,2
2952,848,2011,valencia,street circuit,2,17,2,18042.945,4,3
2987,848,2011,valencia,street circuit,2,1,3,18089.135,6,1
2988,848,2011,valencia,street circuit,2,1,3,18135.325,6,2
2989,848,2011,valencia,street circuit,2,1,3,18181.515,6,3
2960,848,2011,valencia,street circuit,2,13,5,18233.22,5,1
2961,848,2011,valencia,street circuit,2,13,5,18284.925,5,2
2962,848,2011,valencia,street circuit,2,13,5,18336.63,5,3
3013,848,2011,valencia,street circuit,2,18,6,18396.695,3,1
3014,848,2011,valencia,street circuit,2,18,6,18456.76,3,2
3015,848,2011,valencia,street circuit,2,18,6,18516.825,3,3
2999,848,2011,valencia,street circuit,2,3,7,18614.915,12,1
3000,848,2011,valencia,street circuit,2,3,7,18713.005,12,2
3001,848,2011,valencia,street circuit,2,3,7,18811.095,12,3
7190,852,2011,spa,street circuit,2,20,1,5204.893,4,1
7191,852,2011,spa,street circuit,2,20,1,10409.786,4,2
7192,852,2011,spa,street circuit,2,20,1,15614.679,4,3
7148,852,2011,spa,street circuit,2,17,3,15618.42,1,1
7149,852,2011,spa,street circuit,2,17,3,15622.161,1,2
7271,852,2011,spa,street circuit,2,18,13,15631.83,2,1
7272,852,2011,spa,street circuit,2,18,13,15641.499,2,2
7273,852,2011,spa,street circuit,2,18,13,15651.168,2,3
7154,852,2011,spa,street circuit,2,4,8,15664.19,5,1
7155,852,2011,spa,street circuit,2,4,8,15677.212,5,2
7143,852,2011,spa,street circuit,2,30,24,15724.676,6,1
