raceId,year,round,circuitRef,circuit_type,circuit_type_num,driverId,grid,rank,position,positionOrder,time,new_time_seconds,stop,laps,constructorId,cumulative_time_seconds,Race_Circuit,Street_Circuit,Road_Circuit
841,2011,1,albert_park,street circuit,2,20,1,4,1,1,1:29:30.259,5370.259,1,58,9,5370.259,0,1,0
841,2011,1,albert_park,street circuit,2,20,1,4,1,1,1:29:30.259,5370.259,2,58,9,10740.518,0,1,0
841,2011,1,albert_park,street circuit,2,1,2,8,2,2,+22.297,22.297,1,58,1,10762.815,0,1,0
841,2011,1,albert_park,street circuit,2,1,2,8,2,2,+22.297,22.297,2,58,1,10785.112,0,1,0
841,2011,1,albert_park,street circuit,2,808,6,7,3,3,+30.560,30.56,1,58,4,10815.672,0,1,0
841,2011,1,albert_park,street circuit,2,808,6,7,3,3,+30.560,30.56,2,58,4,10846.232,0,1,0
841,2011,1,albert_park,street circuit,2,4,5,2,4,4,+31.772,31.772,1,58,6,10878.004,0,1,0
841,2011,1,albert_park,street circuit,2,4,5,2,4,4,+31.772,31.772,2,58,6,10909.776,0,1,0
841,2011,1,albert_park,street circuit,2,4,5,2,4,4,+31.772,31.772,3,58,6,10941.548,0,1,0
841,2011,1,albert_park,street circuit,2,17,3,3,5,5,+38.171,38.171,1,58,9,10979.719,0,1,0
841,2011,1,albert_park,street circuit,2,17,3,3,5,5,+38.171,38.171,2,58,9,11017.89,0,1,0
841,2011,1,albert_park,street circuit,2,17,3,3,5,5,+38.171,38.171,3,58,9,11056.061,0,1,0
841,2011,1,albert_park,street circuit,2,18,4,5,6,6,+54.304,54.304,1,58,1,11110.365,0,1,0
841,2011,1,albert_park,street circuit,2,18,4,5,6,6,+54.304,54.304,2,58,1,11164.669,0,1,0
841,2011,1,albert_park,street circuit,2,18,4,5,6,6,+54.304,54.304,3,58,1,11218.973,0,1,0
841,2011,1,albert_park,street circuit,2,13,8,1,7,7,+1:25.186,85.186,1,58,6,11304.159,0,1,0
841,2011,1,albert_park,street circuit,2,13,8,1,7,7,+1:25.186,85.186,2,58,6,11389.345,0,1,0
841,2011,1,albert_park,street circuit,2,13,8,1,7,7,+1:25.186,85.186,3,58,6,11474.531,0,1,0
842,2011,2,sepang,race circuit,3,20,1,6,1,1,1:37:39.832,5859.832,1,56,9,5859.832,1,0,0
842,2011,2,sepang,race circuit,3,20,1,6,1,1,1:37:39.832,5859.832,2,56,9,11719.664,1,0,0
842,2011,2,sepang,race circuit,3,20,1,6,1,1,1:37:39.832,5859.832,3,56,9,17579.496,1,0,0
842,2011,2,sepang,race circuit,3,18,4,4,2,2,+3.261,3.261,1,56,1,17582.757,1,0,0
842,2011,2,sepang,race circuit,3,18,4,4,2,2,+3.261,3.261,2,56,1,17586.018,1,0,0
842,2011,2,sepang,race circuit,3,18,4,4,2,2,+3.261,3.261,3,56,1,17589.279000000002,1,0,0
842,2011,2,sepang,race circuit,3,2,6,7,3,3,+25.075,25.075,1,56,4,17614.354,1,0,0
842,2011,2,sepang,race circuit,3,2,6,7,3,3,+25.075,25.075,2,56,4,17639.429,1,0,0
842,2011,2,sepang,race circuit,3,2,6,7,3,3,+25.075,25.075,3,56,4,17664.504,1,0,0
842,2011,2,sepang,race circuit,3,17,3,1,4,4,+26.384,26.384,1,56,9,17690.888000000003,1,0,0
842,2011,2,sepang,race circuit,3,17,3,1,4,4,+26.384,26.384,2,56,9,17717.272,1,0,0
842,2011,2,sepang,race circuit,3,17,3,1,4,4,+26.384,26.384,3,56,9,17743.656000000003,1,0,0
842,2011,2,sepang,race circuit,3,17,3,1,4,4,+26.384,26.384,4,56,9,17770.04,1,0,0
842,2011,2,sepang,race circuit,3,13,7,9,5,5,+36.958,36.958,1,56,6,17806.998,1,0,0
842,2011,2,sepang,race circuit,3,13,7,9,5,5,+36.958,36.958,2,56,6,17843.956000000002,1,0,0
842,2011,2,sepang,race circuit,3,13,7,9,5,5,+36.958,36.958,3,56,6,17880.914,1,0,0
842,2011,2,sepang,race circuit,3,4,5,2,6,6,+37.248,37.248,1,56,6,17918.162,1,0,0
842,2011,2,sepang,race circuit,3,4,5,2,6,6,+37.248,37.248,2,56,6,17955.41,1,0,0
842,2011,2,sepang,race circuit,3,4,5,2,6,6,+37.248,37.248,3,56,6,17992.658,1,0,0
842,2011,2,sepang,race circuit,3,4,5,2,6,6,+37.248,37.248,4,56,6,18029.906000000003,1,0,0
842,2011,2,sepang,race circuit,3,155,10,10,7,7,+1:06.439,66.439,1,56,15,18096.345,1,0,0
842,2011,2,sepang,race circuit,3,155,10,10,7,7,+1:06.439,66.439,2,56,15,18162.784,1,0,0
842,2011,2,sepang,race circuit,3,1,2,5,8,8,+1:09.957,69.957,1,56,1,18232.741,1,0,0
842,2011,2,sepang,race circuit,3,1,2,5,8,8,+1:09.957,69.957,2,56,1,18302.698,1,0,0
842,2011,2,sepang,race circuit,3,1,2,5,8,8,+1:09.957,69.957,3,56,1,18372.655000000002,1,0,0
842,2011,2,sepang,race circuit,3,1,2,5,8,8,+1:09.957,69.957,4,56,1,18442.612,1,0,0
842,2011,2,sepang,race circuit,3,30,11,11,9,9,+1:24.896,84.896,1,56,131,18527.508,1,0,0
842,2011,2,sepang,race circuit,3,30,11,11,9,9,+1:24.896,84.896,2,56,131,18612.404000000002,1,0,0
842,2011,2,sepang,race circuit,3,30,11,11,9,9,+1:24.896,84.896,3,56,131,18697.3,1,0,0
842,2011,2,sepang,race circuit,3,814,14,13,10,10,+1:31.563,91.563,1,56,10,18788.863,1,0,0
842,2011,2,sepang,race circuit,3,814,14,13,10,10,+1:31.563,91.563,2,56,10,18880.426,1,0,0
842,2011,2,sepang,race circuit,3,814,14,13,10,10,+1:31.563,91.563,3,56,10,18971.989,1,0,0
842,2011,2,sepang,race circuit,3,16,17,14,11,11,+1:41.379,101.37899999999999,1,55,10,19073.368000000002,1,0,0
842,2011,2,sepang,race circuit,3,16,17,14,11,11,+1:41.379,101.37899999999999,2,55,10,19174.747,1,0,0
842,2011,2,sepang,race circuit,3,16,17,14,11,11,+1:41.379,101.37899999999999,3,55,10,19276.126,1,0,0
843,2011,3,shanghai,race circuit,3,1,3,2,1,1,1:36:58.226,5818.226000000001,1,56,1,5818.226000000001,1,0,0
843,2011,3,shanghai,race circuit,3,1,3,2,1,1,1:36:58.226,5818.226000000001,2,56,1,11636.452000000001,1,0,0
843,2011,3,shanghai,race circuit,3,1,3,2,1,1,1:36:58.226,5818.226000000001,3,56,1,17454.678,1,0,0
843,2011,3,shanghai,race circuit,3,20,1,8,2,2,+5.198,5.198,1,56,9,17459.876,1,0,0
843,2011,3,shanghai,race circuit,3,20,1,8,2,2,+5.198,5.198,2,56,9,17465.074,1,0,0
843,2011,3,shanghai,race circuit,3,17,18,1,3,3,+7.555,7.555,1,56,9,17472.629,1,0,0
843,2011,3,shanghai,race circuit,3,17,18,1,3,3,+7.555,7.555,2,56,9,17480.184,1,0,0
843,2011,3,shanghai,race circuit,3,17,18,1,3,3,+7.555,7.555,3,56,9,17487.739,1,0,0
843,2011,3,shanghai,race circuit,3,18,2,3,4,4,+10.000,10.0,1,56,1,17497.739,1,0,0
843,2011,3,shanghai,race circuit,3,18,2,3,4,4,+10.000,10.0,2,56,1,17507.739,1,0,0
843,2011,3,shanghai,race circuit,3,18,2,3,4,4,+10.000,10.0,3,56,1,17517.739,1,0,0
843,2011,3,shanghai,race circuit,3,3,4,5,5,5,+13.448,13.448,1,56,131,17531.187,1,0,0
843,2011,3,shanghai,race circuit,3,3,4,5,5,5,+13.448,13.448,2,56,131,17544.635000000002,1,0,0
843,2011,3,shanghai,race circuit,3,3,4,5,5,5,+13.448,13.448,3,56,131,17558.083000000002,1,0,0
