,raceId,year,round,circuitId,name,date,time_x,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,driverId,stop,lap,time_y,duration,milliseconds_x,driverRef,code,forename,surname,dob,nationality,resultId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds_y,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,stop_total
0,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,15:00:00,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,\N,\N,4,1,15,18:28:24,24.786,24786,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,26294,117,14,6,9,9,9,2.0,57,+1:14.887,5579629,48,3,1:34.199,206.830,1,2
1,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,15:00:00,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,\N,\N,4,2,41,19:10:58,25.109,25109,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,26294,117,14,6,9,9,9,2.0,57,+1:14.887,5579629,48,3,1:34.199,206.830,1,2
2,1122,2024,2,77,Saudi Arabian Grand Prix,2024-03-09,17:00:00,2024-03-07,13:30:00,2024-03-07,17:00:00,2024-03-08,13:30:00,2024-03-08,17:00:00,\N,\N,4,1,7,20:15:37,22.129,22129,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,26310,117,14,4,5,5,5,10.0,50,+35.759,4879032,43,13,1:32.387,240.579,1,1
3,1123,2024,3,1,Australian Grand Prix,2024-03-24,04:00:00,2024-03-22,01:30:00,2024-03-22,05:00:00,2024-03-23,01:30:00,2024-03-23,05:00:00,\N,\N,4,1,17,15:27:06,18.160,18160,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,26333,117,14,10,8,8,8,4.0,58,+1:40.992,4927835,52,7,1:20.493,236.055,1,2
4,1123,2024,3,1,Australian Grand Prix,2024-03-24,04:00:00,2024-03-22,01:30:00,2024-03-22,05:00:00,2024-03-23,01:30:00,2024-03-23,05:00:00,\N,\N,4,2,41,16:00:37,17.995,17995,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,26333,117,14,10,8,8,8,4.0,58,+1:40.992,4927835,52,7,1:20.493,236.055,1,2
5,1124,2024,4,22,Japanese Grand Prix,2024-04-07,05:00:00,2024-04-05,02:30:00,2024-04-05,06:00:00,2024-04-06,02:30:00,2024-04-06,06:00:00,\N,\N,4,1,1,14:06:00,26:20.924,1580924,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,26350,117,14,5,6,6,6,8.0,53,+44.272,6907838,53,6,1:34.726,220.691,1,3
6,1124,2024,4,22,Japanese Grand Prix,2024-04-07,05:00:00,2024-04-05,02:30:00,2024-04-05,06:00:00,2024-04-06,02:30:00,2024-04-06,06:00:00,\N,\N,4,2,13,14:53:43,22.998,22998,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,26350,117,14,5,6,6,6,8.0,53,+44.272,6907838,53,6,1:34.726,220.691,1,3
7,1124,2024,4,22,Japanese Grand Prix,2024-04-07,05:00:00,2024-04-05,02:30:00,2024-04-05,06:00:00,2024-04-06,02:30:00,2024-04-06,06:00:00,\N,\N,4,3,33,15:26:33,23.157,23157,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,26350,117,14,5,6,6,6,8.0,53,+44.272,6907838,53,6,1:34.726,220.691,1,3
8,1125,2024,5,17,Chinese Grand Prix,2024-04-21,07:00:00,2024-04-19,03:30:00,2024-04-19,07:30:00,\N,\N,2024-04-20,07:00:00,2024-04-20,03:00:00,4,1,11,15:22:28,23.049,23049,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,26371,117,14,3,7,7,7,7.0,56,+43.414,6095968,45,1,1:37.810,200.629,1,3
9,1125,2024,5,17,Chinese Grand Prix,2024-04-21,07:00:00,2024-04-19,03:30:00,2024-04-19,07:30:00,\N,\N,2024-04-20,07:00:00,2024-04-20,03:00:00,4,2,23,15:44:21,22.687,22687,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,26371,117,14,3,7,7,7,7.0,56,+43.414,6095968,45,1,1:37.810,200.629,1,3
