,raceId,year,round,circuitId,driverId,grid,position,positionOrder,time,new_time_seconds,cumulative_time_seconds
2625,948,2016,1,1,3,2,1,1,1:48:15.565,6495.5650000000005,6495.5650000000005
2009,948,2016,1,1,1,1,2,2,+8.060,8.06,6503.625000000001
1311,948,2016,1,1,20,3,3,3,+9.643,9.643,6513.268000000001
4394,948,2016,1,1,817,8,4,4,+24.330,24.33,6537.598000000001
957,948,2016,1,1,13,6,5,5,+58.979,58.979,6596.577
5799,948,2016,1,1,154,19,6,6,+1:12.081,72.081,6668.658
5441,948,2016,1,1,807,10,7,7,+1:14.199,74.199,6742.857000000001
6210,948,2016,1,1,822,16,8,8,+1:15.153,75.153,6818.01
7507,948,2016,1,1,832,7,9,9,+1:15.680,75.68,6893.6900000000005
7930,948,2016,1,1,830,5,10,10,+1:16.833,76.833,6970.523
8364,948,2016,1,1,835,13,11,11,+1:23.399,83.399,7053.9220000000005
6775,948,2016,1,1,825,14,12,12,+1:25.606,85.606,7139.528
3552,948,2016,1,1,815,9,13,13,+1:31.699,91.699,7231.227000000001
3148,948,2016,1,1,18,12,14,14,\N,,
7844,948,2016,1,1,831,17,15,15,\N,,
8286,948,2016,1,1,836,21,16,16,\N,,
7335,948,2016,1,1,828,15,\N,17,\N,,
4882,948,2016,1,1,8,4,\N,18,\N,,
8427,948,2016,1,1,837,22,\N,19,\N,,
481,948,2016,1,1,4,11,\N,21,\N,,
2627,949,2016,2,3,3,2,1,1,1:33:34.696,5614.696,5614.696
4884,949,2016,2,3,8,4,2,2,+10.282,10.282,5624.978
2011,949,2016,2,3,1,1,3,3,+30.148,30.148,5655.126
4397,949,2016,2,3,817,5,4,4,+1:02.494,62.494,5717.62
5800,949,2016,2,3,154,9,5,5,+1:18.299,78.299,5795.919
7933,949,2016,2,3,830,10,6,6,+1:20.929,80.929,5876.848
7123,949,2016,2,3,826,15,7,7,\N,,
959,949,2016,2,3,13,7,8,8,\N,,
6212,949,2016,2,3,822,6,9,9,\N,,
8452,949,2016,2,3,838,12,10,10,\N,,
6778,949,2016,2,3,825,22,11,11,\N,,
7338,949,2016,2,3,828,17,12,12,\N,,
8289,949,2016,2,3,836,16,13,13,\N,,
7846,949,2016,2,3,831,21,14,14,\N,,
5443,949,2016,2,3,807,8,15,15,\N,,
3554,949,2016,2,3,815,18,16,16,\N,,
8428,949,2016,2,3,837,20,17,17,\N,,
7510,949,2016,2,3,832,11,\N,18,\N,,
6046,949,2016,2,3,821,13,\N,19,\N,,
2630,950,2016,3,17,3,1,1,1,1:38:53.891,5933.891,5933.891
1314,950,2016,3,17,20,4,2,2,+37.776,37.776,5971.6669999999995
7126,950,2016,3,17,826,6,3,3,+45.936,45.936,6017.603
4400,950,2016,3,17,817,2,4,4,+52.688,52.688,6070.290999999999
4887,950,2016,3,17,8,3,5,5,+1:05.872,65.872,6136.163
961,950,2016,3,17,13,10,6,6,+1:15.511,75.511,6211.674
2014,950,2016,3,17,1,22,7,7,+1:18.230,78.23,6289.9039999999995
7936,950,2016,3,17,830,9,8,8,+1:19.268,79.268,6369.172
7512,950,2016,3,17,832,8,9,9,+1:24.127,84.127,6453.299
6215,950,2016,3,17,822,5,10,10,+1:26.192,86.19200000000001,6539.491
