Date, ZC025YR, ZC050YR, ZC075YR, ZC100YR, ZC125YR, ZC150YR, ZC175YR, ZC200YR, ZC225YR, ZC250YR, ZC275YR, ZC300YR, ZC325YR, ZC350YR, ZC375YR, ZC400YR, ZC425YR, ZC450YR, ZC475YR, ZC500YR, ZC525YR, ZC550YR, ZC575YR, ZC600YR, ZC625YR, ZC650YR, ZC675YR, ZC700YR, ZC725YR, ZC750YR, ZC775YR, ZC800YR, ZC825YR, ZC850YR, ZC875YR, ZC900YR, ZC925YR, ZC950YR, ZC975YR, ZC1000YR, ZC1025YR, ZC1050YR, ZC1075YR, ZC1100YR, ZC1125YR, ZC1150YR, ZC1175YR, ZC1200YR, ZC1225YR, ZC1250YR, ZC1275YR, ZC1300YR, ZC1325YR, ZC1350YR, ZC1375YR, ZC1400YR, ZC1425YR, ZC1450YR, ZC1475YR, ZC1500YR, ZC1525YR, ZC1550YR, ZC1575YR, ZC1600YR, ZC1625YR, ZC1650YR, ZC1675YR, ZC1700YR, ZC1725YR, ZC1750YR, ZC1775YR, ZC1800YR, ZC1825YR, ZC1850YR, ZC1875YR, ZC1900YR, ZC1925YR, ZC1950YR, ZC1975YR, ZC2000YR, ZC2025YR, ZC2050YR, ZC2075YR, ZC2100YR, ZC2125YR, ZC2150YR, ZC2175YR, ZC2200YR, ZC2225YR, ZC2250YR, ZC2275YR, ZC2300YR, ZC2325YR, ZC2350YR, ZC2375YR, ZC2400YR, ZC2425YR, ZC2450YR, ZC2475YR, ZC2500YR, ZC2525YR, ZC2550YR, ZC2575YR, ZC2600YR, ZC2625YR, ZC2650YR, ZC2675YR, ZC2700YR, ZC2725YR, ZC2750YR, ZC2775YR, ZC2800YR, ZC2825YR, ZC2850YR, ZC2875YR, ZC2900YR, ZC2925YR, ZC2950YR, ZC2975YR, ZC3000YR, 
2015-01-30,0.0060002,0.0055107,0.0052374,0.0049641,0.0044968,0.0041323,0.0039162,0.003825,0.0038342,0.0039218,0.0040698,0.0042631,0.0044901,0.0047416,0.0050108,0.0052925,0.0055828,0.005879,0.0061792,0.0064822,0.0067869,0.0070929,0.0073999,0.0077076,0.0080159,0.0083246,0.0086338,0.0089433,0.0092528,0.0095622,0.0098712,0.0101796,0.010487,0.010793,0.0110972,0.0113993,0.0116987,0.0119951,0.0122881,0.0125771,0.0128618,0.0131417,0.0134166,0.0136859,0.0139494,0.0142067,0.0144577,0.014702,0.0149394,0.0151698,0.0153929,0.0156087,0.0158172,0.0160181,0.0162116,0.0163976,0.0165762,0.0167473,0.0169111,0.0170677,0.0172172,0.0173597,0.0174954,0.0176244,0.0177469,0.0178631,0.0179732,0.0180774,0.0181758,0.0182688,0.0183564,0.018439,0.0185167,0.0185897,0.0186582,0.0187225,0.0187827,0.018839,0.0188917,0.0189409,0.0189867,0.0190295,0.0190692,0.0191061,0.0191403,0.019172,0.0192013,0.0192283,0.0192532,0.0192761,0.019297,0.0193161,0.0193335,0.0193493,0.0193635,0.0193763,0.0193876,0.0193976,0.0194064,0.0194139,0.0194203,0.0194255,0.0194298,0.019433,0.0194352,0.0194365,0.0194368,0.0194363,0.019435,0.0194328,0.0194299,0.0194262,0.0194218,0.0194166,0.0194108,0.0194042,0.0193971,0.0193893,0.0193808,0.0193718, 
2015-02-02,0.0057089,0.005346,0.0050473,0.0047487,0.0044665,0.0041219,0.0039094,0.0038101,0.0038036,0.0038713,0.0039973,0.0041686,0.0043746,0.0046068,0.0048589,0.0051257,0.0054034,0.0056892,0.005981,0.0062771,0.0065766,0.0068786,0.0071825,0.0074878,0.0077944,0.0081019,0.00841,0.0087186,0.0090274,0.0093361,0.0096444,0.009952,0.0102587,0.010564,0.0108676,0.011169,0.0114679,0.0117639,0.0120566,0.0123455,0.0126303,0.0129107,0.0131861,0.0134564,0.0137211,0.0139801,0.0142329,0.0144794,0.0147194,0.0149526,0.015179,0.0153983,0.0156105,0.0158155,0.0160132,0.0162037,0.0163868,0.0165628,0.0167315,0.0168931,0.0170476,0.0171952,0.0173359,0.01747,0.0175975,0.0177186,0.0178335,0.0179423,0.0180452,0.0181425,0.0182343,0.0183208,0.0184022,0.0184786,0.0185504,0.0186177,0.0186806,0.0187394,0.0187943,0.0188455,0.018893,0.0189372,0.0189782,0.0190161,0.0190511,0.0190833,0.019113,0.0191402,0.019165,0.0191877,0.0192083,0.019227,0.0192437,0.0192588,0.0192722,0.019284,0.0192944,0.0193034,0.0193111,0.0193176,0.0193228,0.019327,0.0193301,0.0193322,0.0193334,0.0193336,0.0193331,0.0193317,0.0193295,0.0193265,0.0193229,0.0193186,0.0193136,0.019308,0.0193019,0.0192951,0.0192878,0.01928,0.0192716,0.0192628, 
2015-02-03,0.00564,0.0053427,0.0050441,0.0047455,0.0046201,0.0043307,0.0041684,0.0041138,0.0041469,0.0042493,0.0044057,0.0046033,0.0048321,0.0050842,0.0053535,0.0056353,0.0059261,0.0062235,0.0065255,0.0068307,0.0071384,0.0074478,0.0077584,0.00807,0.0083822,0.008695,0.009008,0.0093211,0.009634,0.0099465,0.0102583,0.0105692,0.0108787,0.0111865,0.0114923,0.0117956,0.012096,0.0123932,0.0126867,0.0129762,0.0132612,0.0135415,0.0138165,0.0140861,0.0143499,0.0146077,0.0148591,0.0151039,0.015342,0.0155732,0.0157974,0.0160144,0.0162242,0.0164267,0.0166219,0.0168098,0.0169903,0.0171637,0.0173298,0.0174889,0.017641,0.0177862,0.0179247,0.0180566,0.018182,0.0183013,0.0184144,0.0185216,0.0186231,0.0187191,0.0188098,0.0188953,0.0189759,0.0190518,0.0191232,0.0191902,0.0192531,0.019312,0.0193671,0.0194186,0.0194667,0.0195116,0.0195533,0.0195921,0.0196281,0.0196615,0.0196924,0.0197209,0.0197471,0.0197712,0.0197933,0.0198135,0.0198319,0.0198485,0.0198636,0.019877,0.0198891,0.0198997,0.019909,0.019917,0.0199239,0.0199296,0.0199342,0.0199377,0.0199403,0.0199419,0.0199426,0.0199425,0.0199414,0.0199396,0.019937,0.0199337,0.0199296,0.0199248,0.0199194,0.0199133,0.0199066,0.0198992,0.0198913,0.0198829, 
2015-02-04,0.0055203,0.0053507,0.0051024,0.0048541,0.0044798,0.0041307,0.0039375,0.003872,0.0039066,0.004017,0.0041838,0.0043917,0.0046289,0.0048868,0.005159,0.0054412,0.0057303,0.0060242,0.0063218,0.0066223,0.0069254,0.0072308,0.0075384,0.0078482,0.0081602,0.0084743,0.0087902,0.0091077,0.0094264,0.0097461,0.0100662,0.0103862,0.0107055,0.0110236,0.0113399,0.0116536,0.0119643,0.0122713,0.0125741,0.012872,0.0131646,0.0134513,0.0137318,0.0140056,0.0142724,0.0145319,0.0147838,0.0150279,0.015264,0.0154921,0.015712,0.0159237,0.0161272,0.0163225,0.0165098,0.016689,0.0168604,0.0170241,0.0171803,0.0173291,0.0174707,0.0176054,0.0177335,0.017855,0.0179704,0.0180797,0.0181834,0.0182815,0.0183744,0.0184623,0.0185455,0.0186241,0.0186985,0.0187687,0.0188351,0.0188978,0.018957,0.0190128,0.0190656,0.0191154,0.0191624,0.0192067,0.0192484,0.0192878,0.0193249,0.0193597,0.0193925,0.0194233,0.0194521,0.0194792,0.0195044,0.019528,0.0195499,0.0195702,0.019589,0.0196063,0.0196221,0.0196365,0.0196495,0.0196611,0.0196714,0.0196805,0.0196882,0.0196947,0.0197,0.019704,0.0197069,0.0197086,0.0197091,0.0197085,0.0197068,0.0197041,0.0197003,0.0196954,0.0196895,0.0196826,0.0196748,0.0196661,0.0196564,0.0196458, 
2015-02-05,0.0053536,0.0052537,0.0050305,0.0048073,0.0045731,0.0042709,0.0041199,0.0040937,0.0041657,0.0043123,0.0045145,0.004757,0.0050282,0.0053192,0.0056236,0.0059367,0.0062553,0.0065772,0.006901,0.0072259,0.0075513,0.007877,0.008203,0.0085293,0.0088557,0.0091823,0.009509,0.0098357,0.0101621,0.010488,0.0108131,0.011137,0.0114592,0.0117793,0.0120969,0.0124114,0.0127223,0.0130292,0.0133315,0.0136287,0.0139205,0.0142064,0.0144861,0.0147591,0.0150252,0.015284,0.0155355,0.0157792,0.0160152,0.0162433,0.0164634,0.0166754,0.0168794,0.0170754,0.0172635,0.0174436,0.017616,0.0177808,0.017938,0.018088,0.0182308,0.0183667,0.0184959,0.0186185,0.0187349,0.0188452,0.0189497,0.0190486,0.0191421,0.0192305,0.0193141,0.0193929,0.0194673,0.0195375,0.0196036,0.0196659,0.0197246,0.0197798,0.0198317,0.0198805,0.0199264,0.0199694,0.0200098,0.0200477,0.0200831,0.0201163,0.0201473,0.0201763,0.0202032,0.0202283,0.0202515,0.020273,0.0202929,0.0203111,0.0203278,0.020343,0.0203568,0.0203692,0.0203802,0.0203899,0.0203984,0.0204056,0.0204116,0.0204164,0.0204201,0.0204226,0.0204241,0.0204245,0.0204238,0.0204221,0.0204195,0.0204158,0.0204112,0.0204057,0.0203992,0.0203919,0.0203837,0.0203747,0.0203649,0.0203543, 
2015-02-06,0.0053543,0.0053762,0.0052539,0.0051316,0.0049782,0.0047088,0.0046021,0.0046268,0.0047518,0.0049505,0.0052012,0.0054873,0.0057962,0.0061188,0.0064487,0.0067815,0.0071147,0.0074466,0.0077764,0.0081041,0.0084297,0.0087537,0.0090766,0.0093987,0.0097206,0.0100424,0.0103644,0.0106867,0.0110093,0.011332,0.0116545,0.0119765,0.0122975,0.0126172,0.012935,0.0132503,0.0135625,0.0138711,0.0141756,0.0144753,0.0147697,0.0150584,0.0153409,0.0156167,0.0158854,0.0161468,0.0164006,0.0166464,0.0168842,0.0171138,0.017335,0.0175478,0.0177523,0.0179483,0.018136,0.0183154,0.0184868,0.0186501,0.0188056,0.0189536,0.0190941,0.0192274,0.0193537,0.0194733,0.0195865,0.0196935,0.0197945,0.0198899,0.0199798,0.0200645,0.0201444,0.0202195,0.0202903,0.0203568,0.0204194,0.0204783,0.0205335,0.0205855,0.0206343,0.0206801,0.0207231,0.0207634,0.0208012,0.0208367,0.0208699,0.020901,0.0209301,0.0209572,0.0209825,0.0210061,0.0210281,0.0210484,0.0210672,0.0210845,0.0211005,0.021115,0.0211283,0.0211402,0.0211509,0.0211603,0.0211686,0.0211757,0.0211817,0.0211865,0.0211903,0.021193,0.0211946,0.0211951,0.0211947,0.0211932,0.0211908,0.0211874,0.0211831,0.0211778,0.0211716,0.0211645,0.0211566,0.0211478,0.0211381,0.0211277, 
2015-02-09,0.0054038,0.0053651,0.0052176,0.0050701,0.0048929,0.0046216,0.0045111,0.0045299,0.0046475,0.0048377,0.0050795,0.0053565,0.0056566,0.0059708,0.0062928,0.0066184,0.0069449,0.0072707,0.007595,0.0079177,0.0082389,0.0085589,0.0088781,0.009197,0.0095159,0.0098352,0.010155,0.0104754,0.0107963,0.0111177,0.0114392,0.0117604,0.0120811,0.0124008,0.0127188,0.0130347,0.0133479,0.0136578,0.0139639,0.0142657,0.0145625,0.0148538,0.0151393,0.0154185,0.015691,0.0159564,0.0162145,0.0164649,0.0167075,0.0169422,0.0171687,0.017387,0.0175971,0.0177989,0.0179925,0.018178,0.0183554,0.0185248,0.0186865,0.0188405,0.0189872,0.0191265,0.0192589,0.0193844,0.0195033,0.019616,0.0197225,0.0198232,0.0199183,0.0200081,0.0200927,0.0201725,0.0202476,0.0203183,0.0203848,0.0204473,0.0205061,0.0205613,0.020613,0.0206616,0.0207071,0.0207498,0.0207896,0.0208269,0.0208618,0.0208943,0.0209245,0.0209527,0.0209788,0.0210031,0.0210254,0.021046,0.021065,0.0210823,0.021098,0.0211122,0.021125,0.0211364,0.0211464,0.021155,0.0211624,0.0211686,0.0211735,0.0211772,0.0211798,0.0211812,0.0211816,0.0211808,0.021179,0.0211762,0.0211724,0.0211676,0.0211618,0.0211551,0.0211475,0.021139,0.0211296,0.0211194,0.0211084,0.0210967, 
2015-02-10,0.0054978,0.0050556,0.0049199,0.0047866,0.0044959,0.0041566,0.0040103,0.0040192,0.0041458,0.0043579,0.0046293,0.0049403,0.0052758,0.0056253,0.0059813,0.0063389,0.0066951,0.0070484,0.0073981,0.0077442,0.0080871,0.0084275,0.008766,0.0091033,0.0094399,0.0097765,0.0101132,0.0104503,0.0107878,0.0111255,0.0114632,0.0118006,0.0121372,0.0124724,0.0128058,0.0131367,0.0134645,0.0137885,0.0141081,0.0144228,0.0147318,0.0150348,0.0153312,0.0156205,0.0159023,0.0161762,0.016442,0.0166995,0.0169484,0.0171885,0.0174198,0.0176422,0.0178558,0.0180605,0.0182564,0.0184437,0.0186225,0.0187929,0.0189552,0.0191096,0.0192563,0.0193955,0.0195275,0.0196526,0.0197711,0.0198832,0.0199892,0.0200894,0.020184,0.0202734,0.0203578,0.0204374,0.0205125,0.0205834,0.0206503,0.0207133,0.0207728,0.0208288,0.0208816,0.0209314,0.0209784,0.0210226,0.0210642,0.0211034,0.0211402,0.0211748,0.0212073,0.0212378,0.0212664,0.0212931,0.021318,0.0213412,0.0213627,0.0213826,0.0214009,0.0214177,0.021433,0.0214468,0.0214592,0.0214702,0.0214798,0.0214881,0.0214951,0.0215007,0.0215051,0.0215082,0.0215101,0.0215107,0.0215101,0.0215084,0.0215055,0.0215014,0.0214963,0.02149,0.0214827,0.0214744,0.021465,0.0214546,0.0214434,0.0214311, 
2015-02-11,0.0054776,0.0051014,0.0048434,0.0045853,0.0044051,0.0041254,0.0040293,0.0040792,0.0042385,0.0044763,0.0047679,0.0050943,0.0054415,0.0057994,0.0061613,0.0065225,0.0068805,0.0072338,0.007582,0.0079254,0.0082645,0.0086001,0.008933,0.009264,0.0095938,0.0099231,0.0102522,0.0105815,0.0109111,0.011241,0.011571,0.0119009,0.0122303,0.0125588,0.0128858,0.0132108,0.0135332,0.0138524,0.0141678,0.0144789,0.014785,0.0150857,0.0153803,0.0156685,0.0159498,0.0162238,0.0164902,0.0167487,0.0169991,0.0172412,0.0174749,0.0177,0.0179166,0.0181246,0.0183241,0.0185151,0.0186977,0.0188721,0.0190383,0.0191967,0.0193474,0.0194906,0.0196265,0.0197554,0.0198775,0.0199931,0.0201024,0.0202058,0.0203034,0.0203955,0.0204824,0.0205644,0.0206416,0.0207143,0.0207828,0.0208473,0.0209079,0.0209649,0.0210184,0.0210687,0.021116,0.0211603,0.0212019,0.0212408,0.0212773,0.0213114,0.0213432,0.0213729,0.0214006,0.0214263,0.0214501,0.0214721,0.0214924,0.0215111,0.0215281,0.0215435,0.0215575,0.02157,0.0215811,0.0215907,0.0215991,0.0216061,0.0216118,0.0216162,0.0216195,0.0216215,0.0216223,0.0216219,0.0216205,0.0216179,0.0216142,0.0216095,0.0216037,0.0215969,0.0215891,0.0215804,0.0215707,0.0215602,0.0215487,0.0215364, 
2015-02-12,0.0053634,0.0051271,0.0049366,0.0047461,0.0043333,0.0040418,0.0039203,0.0039357,0.0040556,0.0042524,0.0045035,0.0047918,0.0051041,0.0054311,0.005766,0.0061044,0.0064435,0.0067815,0.0071177,0.0074519,0.0077842,0.0081152,0.0084452,0.0087747,0.0091042,0.0094341,0.0097645,0.0100956,0.0104274,0.0107597,0.0110924,0.0114251,0.0117575,0.012089,0.0124191,0.0127474,0.0130732,0.0133959,0.013715,0.0140299,0.0143401,0.014645,0.0149441,0.0152371,0.0155234,0.0158028,0.0160749,0.0163393,0.016596,0.0168446,0.0170851,0.0173174,0.0175413,0.0177569,0.0179642,0.0181632,0.0183539,0.0185366,0.0187113,0.0188782,0.0190374,0.0191891,0.0193336,0.019471,0.0196016,0.0197256,0.0198432,0.0199547,0.0200602,0.0201602,0.0202547,0.020344,0.0204283,0.0205079,0.020583,0.0206538,0.0207205,0.0207833,0.0208423,0.0208978,0.02095,0.0209989,0.0210448,0.0210878,0.021128,0.0211655,0.0212005,0.0212331,0.0212634,0.0212915,0.0213174,0.0213413,0.0213633,0.0213833,0.0214016,0.0214181,0.0214329,0.021446,0.0214576,0.0214676,0.0214761,0.0214832,0.0214889,0.0214931,0.0214961,0.0214977,0.0214981,0.0214972,0.0214952,0.0214919,0.0214875,0.0214821,0.0214755,0.0214679,0.0214593,0.0214497,0.0214392,0.0214277,0.0214154,0.0214022, 
