customer_id,True_Repayment_Risk,Predicted_Repayment_Risk,Predicted_Repayment_Probability
11036,Low Risk,Low Risk,0.026151287151010845
11154,High Risk,High Risk,0.6994889706526705
11182,Low Risk,Low Risk,0.11870596212929713
11185,High Risk,High Risk,0.6171468798685725
11244,Low Risk,Low Risk,0.18006140712330582
11248,Low Risk,Low Risk,0.012438062023975335
11250,Low Risk,Low Risk,0.007120701939794141
11272,Low Risk,Low Risk,0.17132884984176475
11332,Low Risk,High Risk,0.5652055390181929
11345,Low Risk,Low Risk,0.03271188769742311
11358,High Risk,High Risk,0.5797007996330187
11392,Low Risk,Low Risk,0.055862418937036404
11438,High Risk,Low Risk,0.4205869936911333
11497,High Risk,High Risk,0.831064232808815
11556,Low Risk,Low Risk,0.0351061531920665
11565,Low Risk,Low Risk,0.01996468382390345
11681,Low Risk,Low Risk,0.1775005816324909
11711,Low Risk,Low Risk,0.04543613991323723
11747,Low Risk,Low Risk,0.011634358320271631
11779,High Risk,Low Risk,0.4406630681524392
11788,Low Risk,Low Risk,0.1759169197791104
11806,High Risk,Low Risk,0.25358507188843904
11807,Low Risk,Low Risk,0.10552835910855238
11812,High Risk,High Risk,0.62081753608803
11872,Low Risk,Low Risk,0.08804516707247484
12007,Low Risk,Low Risk,0.3450584903585269
12082,Low Risk,Low Risk,0.09341264084328749
12088,Low Risk,Low Risk,0.10681291280950879
12095,Low Risk,Low Risk,0.012403129483836262
12106,Low Risk,Low Risk,0.17729143979004444
12112,Low Risk,Low Risk,0.2860869041929164
12121,Low Risk,Low Risk,0.10963513594380539
1215,High Risk,High Risk,0.7872303699640295
12186,Low Risk,Low Risk,0.007855459774551977
12263,Low Risk,Low Risk,0.11008840358957155
12279,Low Risk,Low Risk,0.01786514873325409
123,High Risk,Low Risk,0.3925753291069454
12318,Low Risk,Low Risk,0.07871687409200208
12325,Low Risk,Low Risk,0.016042270567245123
1233,Low Risk,Low Risk,0.015227915808622585
1236,High Risk,High Risk,0.5714179585532438
12429,Low Risk,Low Risk,0.012438062023975335
12593,Low Risk,Low Risk,0.05663164970626717
1280,Low Risk,Low Risk,0.07339427596889342
13031,Low Risk,Low Risk,0.11063651351164072
1316,High Risk,High Risk,0.5621297371631728
13170,Low Risk,Low Risk,0.010369674858469872
13178,Low Risk,Low Risk,0.012438062023975335
13203,Low Risk,Low Risk,0.045480291480015166
13356,Low Risk,Low Risk,0.012438062023975335
13385,Low Risk,Low Risk,0.10194337783881573
13535,Low Risk,Low Risk,0.13327500236988263
13580,Low Risk,Low Risk,0.014533428297820337
1361,Low Risk,Low Risk,0.01471128139719471
1366,Low Risk,Low Risk,0.07071401106858852
13665,High Risk,Low Risk,0.4515366369119442
13684,Low Risk,Low Risk,0.2221491928825807
13710,Low Risk,Low Risk,0.0315061531920665
13917,High Risk,Low Risk,0.44775872354413027
13973,High Risk,Low Risk,0.31831651678755724
14038,Low Risk,Low Risk,0.06492429457091277
14063,Low Risk,Low Risk,0.09766009007542267
1409,Low Risk,Low Risk,0.006003556834263613
14115,Low Risk,Low Risk,0.16628094584869169
1416,Low Risk,Low Risk,0.009420704288809648
14214,Low Risk,Low Risk,0.1103967891146262
14241,Low Risk,Low Risk,0.027194582409907492
