,raceId,year,round,circuitId,name_x,date,time_x,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,driverId,stop,lap,time_y,duration,milliseconds_x,driverRef,code,forename,surname,dob,nationality,resultId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds_y,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,circuitRef,name_y,location,country,lat,lng,alt,url,circuit_type,circuit_type_num
0,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,153,1,1,17:05:23,26.898,26898,alguersuari,ALG,Jaime,Alguersuari,1990-03-23,Spanish,20789,5,19,12,11,11,11,0.0,57,\N,\N,41,10,1:30.467,211.025,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
1,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,153,2,17,17:31:06,24.463,24463,alguersuari,ALG,Jaime,Alguersuari,1990-03-23,Spanish,20789,5,19,12,11,11,11,0.0,57,\N,\N,41,10,1:30.467,211.025,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
2,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,153,3,35,17:59:45,26.348,26348,alguersuari,ALG,Jaime,Alguersuari,1990-03-23,Spanish,20789,5,19,12,11,11,11,0.0,57,\N,\N,41,10,1:30.467,211.025,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
3,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,30,1,1,17:05:52,25.021,25021,michael_schumacher,MSC,Michael,Schumacher,1969-01-03,German,20797,131,7,11,\N,R,19,0.0,19,\N,\N,13,21,1:35.319,200.283,4,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
4,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,30,2,17,17:32:08,23.988,23988,michael_schumacher,MSC,Michael,Schumacher,1969-01-03,German,20797,131,7,11,\N,R,19,0.0,19,\N,\N,13,21,1:35.319,200.283,4,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
5,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17,1,11,17:20:48,23.426,23426,webber,WEB,Mark,Webber,1976-08-27,Australian,20783,9,2,3,5,5,5,10.0,58,+38.171,5408430,50,3,1:29.600,213.066,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
6,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17,2,26,17:44:29,22.520,22520,webber,WEB,Mark,Webber,1976-08-27,Australian,20783,9,2,3,5,5,5,10.0,58,+38.171,5408430,50,3,1:29.600,213.066,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
7,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17,3,41,18:07:37,26.230,26230,webber,WEB,Mark,Webber,1976-08-27,Australian,20783,9,2,3,5,5,5,10.0,58,+38.171,5408430,50,3,1:29.600,213.066,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
8,860,2012,1,1,Australian Grand Prix,2012-03-18,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17,1,14,17:25:41,23.302,23302,webber,WEB,Mark,Webber,1976-08-27,Australian,21235,9,2,5,4,4,4,12.0,58,+4.547,5654112,57,3,1:29.438,213.452,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
9,860,2012,1,1,Australian Grand Prix,2012-03-18,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17,2,37,18:01:58,22.915,22915,webber,WEB,Mark,Webber,1976-08-27,Australian,21235,9,2,5,4,4,4,12.0,58,+4.547,5654112,57,3,1:29.438,213.452,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
