,raceId,year,round,circuitId,driverId,grid,positionOrder,points,rank,laps,fastestLapTime_seconds
724,1130,2024,10,4,4,10,12,0.0,8,65,78.334
725,1130,2024,10,4,4,10,12,0.0,8,65,78.334
2325,1130,2024,10,4,1,3,3,15.0,4,66,77.809
2326,1130,2024,10,4,1,3,3,15.0,4,66,77.809
3874,1130,2024,10,4,815,11,8,4.0,3,66,77.785
3875,1130,2024,10,4,815,11,8,4.0,3,66,77.785
3876,1130,2024,10,4,815,11,8,4.0,3,66,77.785
4661,1130,2024,10,4,817,18,15,0.0,17,65,79.45
4662,1130,2024,10,4,817,18,15,0.0,17,65,79.45
5651,1130,2024,10,4,807,13,11,0.0,10,66,78.60900000000001
5652,1130,2024,10,4,807,13,11,0.0,10,66,78.60900000000001
6521,1130,2024,10,4,822,12,16,0.0,18,65,79.608
6522,1130,2024,10,4,822,12,16,0.0,18,65,79.608
7041,1130,2024,10,4,825,16,17,0.0,19,65,79.805
7042,1130,2024,10,4,825,16,17,0.0,19,65,79.805
7794,1130,2024,10,4,832,6,6,8.0,9,66,78.539
7795,1130,2024,10,4,832,6,6,8.0,9,66,78.539
8243,1130,2024,10,4,830,2,1,25.0,2,66,77.776
8244,1130,2024,10,4,830,2,1,25.0,2,66,77.776
8744,1130,2024,10,4,839,8,10,1.0,12,66,78.982
8745,1130,2024,10,4,839,8,10,1.0,12,66,78.982
9026,1130,2024,10,4,840,14,14,0.0,15,65,79.318
9027,1130,2024,10,4,840,14,14,0.0,15,65,79.318
9374,1130,2024,10,4,842,7,9,2.0,13,66,79.045
9375,1130,2024,10,4,842,7,9,2.0,13,66,79.045
9629,1130,2024,10,4,844,5,5,10.0,6,66,77.89699999999999
9630,1130,2024,10,4,844,5,5,10.0,6,66,77.89699999999999
9870,1130,2024,10,4,848,0,18,0.0,14,65,79.132
9871,1130,2024,10,4,848,0,18,0.0,14,65,79.132
10085,1130,2024,10,4,846,1,2,19.0,1,66,77.115
10086,1130,2024,10,4,846,1,2,19.0,1,66,77.115
10304,1130,2024,10,4,847,4,4,12.0,7,66,78.28999999999999
10305,1130,2024,10,4,847,4,4,12.0,7,66,78.28999999999999
10704,1130,2024,10,4,852,17,19,0.0,16,65,79.447
10705,1130,2024,10,4,852,17,19,0.0,16,65,79.447
10706,1130,2024,10,4,852,17,19,0.0,16,65,79.447
10817,1130,2024,10,4,855,15,13,0.0,11,65,78.771
10818,1130,2024,10,4,855,15,13,0.0,11,65,78.771
10903,1130,2024,10,4,858,19,20,0.0,20,64,80.172
10904,1130,2024,10,4,858,19,20,0.0,20,64,80.172
10968,1130,2024,10,4,857,9,7,6.0,5,66,77.874
10969,1130,2024,10,4,857,9,7,6.0,5,66,77.874
